,original,matches,match_count
2459,"Specter, Arlen",['Arlen Specter'],1
2460,"Speier, Jackie",['Jackie Speier'],1
2461,"Spellman, Gladys Noon",[],0
2462,"Spence, Floyd",[],0
2463,"Spratt, John M., Jr.",[],0
2464,"St Germain, Fernand J.",[],0
2465,"Stabenow, Debbie",['Debbie Stabenow'],1
2466,"Stabenow, Debbie",['Debbie Stabenow'],1
2467,"Stack, Edward J.",[],0
2468,"Stafford, Robert T.",[],0
2469,"Stafford, Robert T.",[],0
2470,"Staggers, Harley O.",[],0
2471,"Staggers, Harley O., Jr.",[],0
2472,"Stallings, Richard H.",['Richard Stallings'],1
2473,"Stangeland, Arlan",[],0
2474,"Stansbury, Melanie A.",[],0
2475,"Stanton, Greg",['Greg Stanton'],1
2476,"Stanton, J. William",[],0
2477,"Stanton, James V.",[],0
2478,"Stark, Fortney Pete",[],0
2479,"Staton, David Michael",[],0
2480,"Stauber, Pete",[],0
2481,"Stearns, Cliff",['Cliff Stearns'],1
2482,"Steed, Tom",[],0
2483,"Steel, Michelle",['Michelle Steel'],1
2484,"Steele, Robert H.",[],0
2485,"Steelman, Alan",[],0
2486,"Steers, Newton I., Jr.",[],0
2487,"Stefanik, Elise M.",[],0
2488,"Steiger, Sam",[],0
2489,"Steiger, William A.",[],0
2490,"Steil, Bryan",['Bryan Steil'],1
2491,"Stenholm, Charles W.",['Charles Stenholm'],1
2492,"Stennis, John C.",[],0
2493,"Stephens, Robert G., Jr.",[],0
2494,"Steube, W. Gregory",[],0
2495,"Stevens, Haley M.",[],0
2496,"Stevens, Ted",['Ted Stevens'],1
2497,"Stevenson, Adlai E., III",[],0
2498,"Stewart, Bennett McVey",[],0
2499,"Stewart, Chris",['Chris Stewart'],1
2500,"Stewart, Donald",[],0
2501,"Stivers, Steve",['Steve Stivers'],1
2502,"Stockman, David A.",[],0
2503,"Stockman, Steve",['Steve Stockman'],1
2504,"Stockman, Steve",['Steve Stockman'],1
2505,"Stokes, Louis",['Louis Stokes'],1
2506,"Strang, Michael L.",[],0
2507,"Strange, Luther",[],0
2508,"Stratton, Samuel S.",[],0
2509,"Strickland, Marilyn",['Marilyn Strickland'],1
2510,"Strickland, Ted",['Ted Strickland'],1
2511,"Strickland, Ted",['Ted Strickland'],1
2512,"Strong, Dale W.",['Dale Strong'],1
2513,"Stubblefield, Frank A.",[],0
2514,"Studds, Gerry E.",[],0
2515,"Stump, Bob",['Bob Stump'],1
2516,"Stupak, Bart",['Bart Stupak'],1
2517,"Stutzman, Marlin A.",[],0
2518,"Stutzman, Marlin A.",[],0
2519,"Subramanyam, Suhas",['Suhas Subramanyam'],1
2520,"Sullivan, Dan",['Dan Sullivan'],1
2521,"Sullivan, John",['John Sullivan'],1
2522,"Sundquist, Don",['Don Sundquist'],1
2523,"Sunia, Foto I. F.",[],0
2524,"Sununu, John E.",[],0
2525,"Sununu, John E.",[],0
2526,"Suozzi, Thomas R.",[],0
2527,"Sutton, Betty",['Betty Sutton'],1
2528,"Swalwell, Eric",['Eric Swalwell'],1
2529,"Sweeney, David McCann",[],0
2530,"Sweeney, John E.",[],0
2531,"Swett, Dick",['Dick Swett'],1
2532,"Swift, Al",['Al Swift'],1
2533,"Swindall, Patrick L.",[],0
2534,"Sykes, Emilia Strong",[],0
2535,"Symington, James W.",[],0
2536,"Symington, Stuart",[],0
2537,"Symms, Steven D.",[],0
2538,"Symms, Steven D.",[],0
2539,"Synar, Mike",['Mike Synar'],1
2540,"Taft, Robert, Jr.",[],0
2541,"Taft, Robert, Jr.",[],0
2542,"Taft, Robert, Jr.",[],0
2543,"Takai, Mark",['Mark Takai'],1
2544,"Takano, Mark",['Mark Takano'],1
2545,"Talcott, Burt L.",[],0
2546,"Talent, Jim",[],0
2547,"Talent, Jim",[],0
2548,"Talmadge, Herman E.",[],0
2549,"Tancredo, Thomas G.",[],0
2550,"Tanner, John S.",[],0
2551,"Tate, Randy",['Randy Tate'],1
2552,"Tauke, Thomas Joseph",[],0
2553,"Tauscher, Ellen O.",[],0
2554,"Taylor, Charles H.",['Charles Taylor'],1
2555,"Taylor, David J.",[],0
2556,"Taylor, G.",[],0
2557,"Taylor, Gene",['Gene Taylor'],1
2558,"Taylor, Roy A.",[],0
2559,"Taylor, Scott",['Scott Taylor'],1
2560,"Taylor, Van",['Van Taylor'],1
2561,"Teague, Charles M.",[],0
2562,"Teague, Harry",['Harry Teague'],1
2563,"Teague, Olin E.",[],0
2564,"Tejeda, Frank",['Frank Tejeda'],1
2565,"Tenney, Claudia",['Claudia Tenney'],1
2566,"Tenney, Claudia",['Claudia Tenney'],1
2567,"Terry, Lee",['Lee Terry'],1
2568,"Tester, Jon",['Jon Tester'],1
2569,"Thanedar, Shri",['Shri Thanedar'],1
2570,"Thomas, Craig",['Craig Thomas'],1
2571,"Thomas, Craig",['Craig Thomas'],1
2572,"Thomas, Lindsay",[],0
2573,"Thomas, William M.",[],0
2574,"Thompson, Bennie G.",[],0
2575,"Thompson, Frank, Jr.",[],0
2576,"Thompson, Fred",['Fred Thompson'],1
2577,"Thompson, Glenn",[],0
2578,"Thompson, Mike",['Mike Thompson'],1
2579,"Thomson, Vernon W.",[],0
2580,"Thone, Charles",[],0
2581,"Thornberry, Mac",['Mac Thornberry'],1
2582,"Thornton, Ray",['Ray Thornton'],1
2583,"Thornton, Ray",['Ray Thornton'],1
2584,"Thune, John",['John Thune'],1
2585,"Thune, John",['John Thune'],1
2586,"Thurman, Karen L.",[],0
2587,"Thurmond, Strom",['Strom Thurmond'],1
2588,"Tiahrt, Todd",['Todd Tiahrt'],1
2589,"Tiberi, Patrick J.",[],0
2590,"Tiernan, Robert O.",[],0
2591,"Tierney, John F.",[],0
2592,"Tiffany, Thomas P.",[],0
2593,"Tillis, Thomas",[],0
2594,"Timmons, William R.",[],0
2595,"Tipton, Scott R.",[],0
2596,"Titus, Dina",['Dina Titus'],1
2597,"Titus, Dina",['Dina Titus'],1
2598,"Tlaib, Rashida",['Rashida Tlaib'],1
2599,"Tokuda, Jill N.",[],0
2600,"Tonko, Paul",['Paul Tonko'],1
2601,"Tonry, Richard A.",[],0
2602,"Toomey, Patrick",[],0
2603,"Toomey, Patrick",[],0
2604,"Torkildsen, Peter G.",[],0
2605,"Torres Small, Xochitl",[],0
2606,"Torres, Esteban Edward",['Esteban Edward Torres'],1
2607,"Torres, Norma J.",[],0
2608,"Torres, Ritchie",['Ritchie Torres'],1
2609,"Torricelli, Robert G.",[],0
2610,"Torricelli, Robert G.",[],0
2611,"Towell, David",['David Daly'],1
2612,"Tower, John G.",[],0
2613,"Towns, Edolphus",[],0
2614,"Traficant, James A., Jr.",[],0
2615,"Trahan, Lori",['Lori Trahan'],1
2616,"Tran, Derek",['Derek Tran'],1
2617,"Traxler, Bob",[],0
2618,"Treen, David C.",[],0
2619,"Trible, Paul S., Jr.",[],0
2620,"Trible, Paul S., Jr.",[],0
2621,"Trone, David J.",[],0
2622,"Trott, David A.",[],0
2623,"Tsongas, Niki",['Niki Tsongas'],1
2624,"Tsongas, Paul E.",[],0
2625,"Tsongas, Paul E.",[],0
2626,"Tuberville, Tommy",['Tommy Tuberville'],1
2627,"Tucker, Walter R., III",[],0
2628,"Tunney, John V.",[],0
2629,"Tunney, John V.",[],0
