name,url,status,party,year,election
Jeremy Cloward,/candidate/114606/jeremy-cloward,lost,Green Party,2009,congressional
Jerry Denham,/candidate/114600/jerry-denham,lost,American Independent,2009,congressional
John Garamendi,/candidate/29664/john-garamendi,won,Democratic,2009,congressional
David Harmer,/candidate/114593/david-harmer,lost,Republican,2009,congressional
Mary McIlroy,/candidate/114611/mary-mcilroy,lost,Peace and Freedom,2009,congressional
Christopher Agrella,/candidate/104278/christopher-agrella,lost,Libertarian,2009,congressional
Betty Chu,/candidate/111045/betty-chu,lost,Republican,2009,congressional
Judy Chu,/candidate/16539/judy-chu,won,Democratic,2009,congressional
Rosanna Pulido,/candidate/110933/rosanna-pulido,lost,Republican,2009,congressional
Mike Quigley,/candidate/83310/mike-quigley,won,Democratic,2009,congressional
Matthew Reichel,/candidate/110927/matthew-reichel,lost,Green Party,2009,congressional
Scott Murphy,/candidate/110967/scott-murphy,won,"Democratic, Independence, Working Families",2009,congressional
Jim Tedisco,/candidate/4401/jim-tedisco,lost,"Conservative, Republican",2009,congressional
Doug Hoffman,/candidate/116368/doug-hoffman,lost,Conservative,2009,congressional
Bill Owens,/candidate/116354/bill-owens,won,"Democratic, Working Families",2009,congressional
Dierdre Scozzafava,/candidate/22881/dierdre-scozzafava,lost,"Independence, Republican",2009,congressional
