name,url,status,party,year,election
Daniel Brezenoff,/candidate/70025/daniel-brezenoff,won,Green Party,2007,congressional
Lee Davis,/candidate/70011/lee-davis,lost,Democratic,2007,congressional
Mervin Evans,/candidate/29049/mervin-evans,lost,Democratic,2007,congressional
Felicia Ford,/candidate/70012/felicia-ford,lost,Democratic,2007,congressional
Bill Grisolia,/candidate/70014/bill-grisolia,lost,Democratic,2007,congressional
Leroy Guillory,/candidate/70019/leroy-guillory,lost,Republican,2007,congressional
John Kanaley,/candidate/70022/john-kanaley,won,Republican,2007,congressional
Jeffrey Leavitt,/candidate/70023/jeffrey-leavitt,lost,Republican,2007,congressional
Peter Mathews,/candidate/29305/peter-mathews,lost,Democratic,2007,congressional
Valerie McDonald,/candidate/70015/valerie-mcdonald,lost,Democratic,2007,congressional
Jenny Oropeza,/candidate/29092/jenny-oropeza,lost,Democratic,2007,congressional
"George Parmer, Jr.",/candidate/70016/george-parmer-jr,lost,Democratic,2007,congressional
Herbert Peters,/candidate/29387/herbert-peters,won,Libertarian,2007,congressional
Jeffrey Price,/candidate/70017/jeffrey-price,lost,Democratic,2007,congressional
Teri Ramirez,/candidate/70026/teri-ramirez,lost,Republican,2007,congressional
Laura Richardson,/candidate/69508/laura-richardson,won,Democratic,2007,congressional
Ed Wilson,/candidate/70018/ed-wilson,lost,Democratic,2007,congressional
Paul Broun,/candidate/70001/paul-broun,won,Republican,2007,congressional
Denise Freeman,/candidate/69858/denise-freeman,lost,Democratic,2007,congressional
William Greene,/candidate/12992/william-greene,lost,Republican,2007,congressional
James Marlow,/candidate/69859/james-marlow,lost,Democratic,2007,congressional
Mark Myers,/candidate/69861/mark-myers,lost,Republican,2007,congressional
Evita Paschall,/candidate/69862/evita-paschall,lost,Democratic,2007,congressional
Nate Pulliam,/candidate/69865/nate-pulliam,lost,Republican,2007,congressional
James Sendelbach,/candidate/69866/james-sendelbach,lost,Libertarian,2007,congressional
Erik Underwood,/candidate/69868/erik-underwood,lost,Republican,2007,congressional
"James Whitehead, Sr.",/candidate/31863/james-whitehead-sr,won,Republican,2007,congressional
Kurt Hayes,/candidate/92767/kurt-hayes,lost,Independent,2007,congressional
Patrick Murphy,/candidate/92769/patrick-murphy,lost,Independent,2007,congressional
Jim Ogonowski,/candidate/89425/jim-ogonowski,lost,Republican,2007,congressional
Kevin Thompson,/candidate/92774/kevin-thompson,lost,Constitution Party Massachusetts,2007,congressional
Niki Tsongas,/candidate/89417/niki-tsongas,won,Democratic,2007,congressional
John Green,/candidate/45464/john-green,lost,Independent,2007,congressional
Bob Latta,/candidate/9926/bob-latta,won,Republican,2007,congressional
Robin Weirauch,/candidate/45311/robin-weirauch,lost,Democratic,2007,congressional
Philip Forgit,/candidate/50861/philip-forgit,lost,Democratic,2007,congressional
Lucky Narain,/candidate/101859/lucky-narain,lost,Independent,2007,congressional
Rob Wittman,/candidate/58133/rob-wittman,won,Republican,2007,congressional
