name,url,status,party,year,election
Darin LaHood,/candidate/128760/darin-lahood,won,Republican,2015,congressional
Rob Mellon,/candidate/146287/rob-mellon,lost,Democratic,2015,congressional
Boyce Adams,/candidate/128796/boyce-adams,lost,Republican,2015,congressional
Sam Adcock,/candidate/156410/sam-adcock,lost,Republican,2015,congressional
Nancy Collins,/candidate/128505/nancy-collins,lost,Republican,2015,congressional
"Ed, Doc Holliday",/candidate/156411/ed-doc-holliday,lost,Republican,2015,congressional
Starner Jones,/candidate/156412/starner-jones,lost,Republican,2015,congressional
Trent Kelly,/candidate/156389/trent-kelly,won,"Independent, Republican",2015,congressional
"Chip Mills, Jr.",/candidate/156388/chip-mills-jr,lost,Independent,2015,congressional
Greg Pirkle,/candidate/156413/greg-pirkle,lost,Republican,2015,congressional
Henry Ross,/candidate/120702/henry-ross,lost,Republican,2015,congressional
Daniel Sparks,/candidate/156414/daniel-sparks,lost,Republican,2015,congressional
Mike Tagert,/candidate/128802/mike-tagert,lost,Republican,2015,congressional
"Quentin Whitwell, Jr.",/candidate/20666/quentin-whitwell-jr,lost,Independent,2015,congressional
"Walter Zinn, Jr.",/candidate/156522/walter-zinn-jr,won,Democratic,2015,congressional
"Dan Donovan, Jr.",/candidate/127760/dan-donovan-jr,won,"Conservative, Independence, Republican",2015,congressional
Vinnie Gentile,/candidate/14214/vinnie-gentile,lost,"Democratic, Working Families",2015,congressional
Robert Holst,/candidate/156390/robert-holst,unknown,Democratic,2015,congressional
James Lane,/candidate/156403/james-lane,lost,Green Party,2015,congressional
