name,url,status,party,year,election
Doc Carter,/candidate/122962/doc-carter,lost,No Party Affiliation,2010,congressional
Ted Gianoutsos,/candidate/27156/ted-gianoutsos,lost,No Party Affiliation,2010,congressional
David Haase,/candidate/107616/david-haase,lost,Libertarian,2010,congressional
Scott McAdams,/candidate/111353/scott-mcadams,lost,Democratic,2010,congressional
Joe Miller,/candidate/27169/joe-miller,lost,Republican,2010,congressional
Lisa Murkowski,/candidate/15841/lisa-murkowski,won,"Republican, Write-In",2010,congressional
"Harry Crawford, Jr.",/candidate/15813/harry-crawford-jr,lost,Democratic,2010,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2010,congressional
William Barnes,/candidate/121624/william-barnes,lost,Democratic,2010,congressional
Richard Shelby,/candidate/53266/richard-shelby,won,Republican,2010,congressional
"Jo Bonner, Jr.",/candidate/27522/jo-bonner-jr,won,Republican,2010,congressional
David Walter,/candidate/128139/david-walter,lost,Constitution,2010,congressional
Bobby Bright,/candidate/104839/bobby-bright,lost,Democratic,2010,congressional
Martha Roby,/candidate/71604/martha-roby,won,Republican,2010,congressional
Mike Rogers,/candidate/5705/mike-rogers,won,Republican,2010,congressional
"Steve Segrest, Sr.",/candidate/121617/steve-segrest-sr,lost,Democratic,2010,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,2010,congressional
Mo Brooks,/candidate/121610/mo-brooks,won,Republican,2010,congressional
Steve Raby,/candidate/121619/steve-raby,lost,Democratic,2010,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,2010,congressional
Don Chamberlain,/candidate/27598/don-chamberlain,lost,Republican,2010,congressional
Terri Sewell,/candidate/121621/terri-sewell,won,Democratic,2010,congressional
John Boozman,/candidate/27958/john-boozman,won,Republican,2010,congressional
Trevor Drown,/candidate/127698/trevor-drown,lost,Independent,2010,congressional
John Gray III,/candidate/127699/john-gray-iii,lost,Green Party,2010,congressional
Blanche Lincoln,/candidate/26723/blanche-lincoln,lost,Democratic,2010,congressional
Ken Adler,/candidate/127695/ken-adler,lost,Green Party,2010,congressional
Chad Causey,/candidate/119210/chad-causey,lost,Democratic,2010,congressional
Rick Crawford,/candidate/119208/rick-crawford,won,Republican,2010,congressional
Joyce Elliott,/candidate/27771/joyce-elliott,lost,Democratic,2010,congressional
Tim Griffin,/candidate/119213/tim-griffin,won,Republican,2010,congressional
Lewis Kennedy,/candidate/127696/lewis-kennedy,lost,Green Party,2010,congressional
Lance Levi,/candidate/127697/lance-levi,lost,Independent,2010,congressional
David Whitaker,/candidate/119219/david-whitaker,lost,Democratic,2010,congressional
Steve Womack,/candidate/71815/steve-womack,won,Republican,2010,congressional
Josh Drake,/candidate/105120/josh-drake,lost,Green Party,2010,congressional
Beth Rankin,/candidate/119222/beth-rankin,lost,Republican,2010,congressional
Mike Ross,/candidate/24571/mike-ross,won,Democratic,2010,congressional
Eni Faleomavaega,/candidate/774/eni-faleomavaega,won,Democratic,2010,congressional
Aumua Amata Radewagen,/candidate/128380/aumua-amata-radewagen,lost,Republican,2010,congressional
Tuika Tuika,/candidate/45/tuika-tuika,lost,No Party Affiliation,2010,congressional
Rodney Glassman,/candidate/105267/rodney-glassman,lost,Democratic,2010,congressional
Jerry Joslyn,/candidate/123480/jerry-joslyn,lost,Green Party,2010,congressional
John McCain III,/candidate/53270/john-mccain-iii,won,Republican,2010,congressional
David Nolan,/candidate/66137/david-nolan,lost,Libertarian,2010,congressional
Paul Gosar,/candidate/123491/paul-gosar,won,Republican,2010,congressional
Ann Kirkpatrick,/candidate/28425/ann-kirkpatrick,lost,Democratic,2010,congressional
Nicole Patti,/candidate/128061/nicole-patti,lost,Libertarian,2010,congressional
Trent Franks,/candidate/28399/trent-franks,won,Republican,2010,congressional
Powell Gammill,/candidate/28430/powell-gammill,lost,Libertarian,2010,congressional
John Thrasher,/candidate/67902/john-thrasher,lost,Democratic,2010,congressional
Leonard Clark,/candidate/16372/leonard-clark,lost,Green Party,2010,congressional
Jon Hulburd,/candidate/123498/jon-hulburd,lost,Democratic,2010,congressional
Ben Quayle,/candidate/123506/ben-quayle,won,Republican,2010,congressional
Michael Shoen,/candidate/106377/michael-shoen,lost,Libertarian,2010,congressional
Joe Cobb,/candidate/68729/joe-cobb,lost,Libertarian,2010,congressional
Janet Contreras,/candidate/123509/janet-contreras,lost,Republican,2010,congressional
Rebecca Dewitt,/candidate/106378/rebecca-dewitt,lost,Green Party,2010,congressional
Ed Pastor,/candidate/26719/ed-pastor,won,Democratic,2010,congressional
Ryan Blackman,/candidate/128062/ryan-blackman,unknown,Green Party,2010,congressional
Nick Coons,/candidate/123512/nick-coons,lost,Libertarian,2010,congressional
Harry Mitchell,/candidate/16369/harry-mitchell,lost,Democratic,2010,congressional
David Schweikert,/candidate/106387/david-schweikert,won,Republican,2010,congressional
Jeff Flake,/candidate/28128/jeff-flake,won,Republican,2010,congressional
Richard Grayson,/candidate/874/richard-grayson,lost,Green Party,2010,congressional
Becky Schneider,/candidate/106389/becky-schneider,lost,Democratic,2010,congressional
Darell Tapp,/candidate/128063/darell-tapp,lost,Libertarian,2010,congressional
Raul Grijalva,/candidate/28253/raul-grijalva,won,Democratic,2010,congressional
George Keane,/candidate/123520/george-keane,lost,Libertarian,2010,congressional
Ruth McClung,/candidate/123523/ruth-mcclung,lost,Republican,2010,congressional
Harley Meyer,/candidate/123914/harley-meyer,lost,Independent,2010,congressional
Gabrielle Giffords,/candidate/28507/gabrielle-giffords,won,Democratic,2010,congressional
Jesse Kelly,/candidate/123529/jesse-kelly,lost,Republican,2010,congressional
Steven Stoltz,/candidate/123527/steven-stoltz,lost,Libertarian,2010,congressional
Barbara Boxer,/candidate/53274/barbara-boxer,won,Democratic,2010,congressional
Marsha Feinland,/candidate/16581/marsha-feinland,lost,Peace and Freedom,2010,congressional
Carly Fiorina,/candidate/120023/carly-fiorina,lost,Republican,2010,congressional
Gail Lightfoot,/candidate/138/gail-lightfoot,lost,Libertarian,2010,congressional
Edward Noonan,/candidate/59793/edward-noonan,lost,American Independent,2010,congressional
Duane Roberts,/candidate/120026/duane-roberts,lost,Green,2010,congressional
Loren Hanks,/candidate/120028/loren-hanks,lost,Republican,2010,congressional
Mike Rodrigues,/candidate/16630/mike-rodrigues,lost,Libertarian,2010,congressional
Mike Thompson,/candidate/3564/mike-thompson,won,Democratic,2010,congressional
Carol Wolman,/candidate/104223/carol-wolman,lost,Green,2010,congressional
"Wally Herger, Jr.",/candidate/26728/wally-herger-jr,won,Republican,2010,congressional
Jim Reed,/candidate/120029/jim-reed,lost,Democratic,2010,congressional
Ami Bera,/candidate/120030/ami-bera,lost,Democratic,2010,congressional
Jerry Leidecker,/candidate/120031/jerry-leidecker,lost,American Independent,2010,congressional
Dan Lungren,/candidate/16730/dan-lungren,won,Republican,2010,congressional
Mike Roskey,/candidate/59797/mike-roskey,lost,Peace and Freedom,2010,congressional
Art Tuma,/candidate/16540/art-tuma,lost,Libertarian,2010,congressional
Clint Curtis,/candidate/120032/clint-curtis,lost,Democratic,2010,congressional
Ben Emery,/candidate/120034/ben-emery,lost,Green,2010,congressional
Tom McClintock,/candidate/9715/tom-mcclintock,won,Republican,2010,congressional
Gerald Frink,/candidate/104342/gerald-frink,lost,Peace and Freedom,2010,congressional
Doris Matsui,/candidate/28593/doris-matsui,won,Democratic,2010,congressional
Paul Smith,/candidate/104243/paul-smith,lost,Republican,2010,congressional
Jim Judd,/candidate/120036/jim-judd,lost,Republican,2010,congressional
Eugene Ruyle,/candidate/104255/eugene-ruyle,lost,Peace and Freedom,2010,congressional
Joel Smolen,/candidate/29302/joel-smolen,lost,Libertarian,2010,congressional
Lynn Woolsey,/candidate/26733/lynn-woolsey,won,Democratic,2010,congressional
George Miller,/candidate/26734/george-miller,won,Democratic,2010,congressional
Rick Tubbs II,/candidate/120039/rick-tubbs-ii,lost,Republican,2010,congressional
Philip Berg,/candidate/59813/philip-berg,lost,Libertarian,2010,congressional
John Dennis,/candidate/120040/john-dennis,lost,Republican,2010,congressional
Gloria La Riva,/candidate/16457/gloria-la-riva,lost,Peace and Freedom,2010,congressional
Nancy Pelosi,/candidate/26732/nancy-pelosi,won,Democratic,2010,congressional
Larry Allen,/candidate/120043/larry-allen,lost,Peace and Freedom,2010,congressional
Jim Eyer,/candidate/29081/jim-eyer,lost,Libertarian,2010,congressional
Gerald Hashimoto,/candidate/120041/gerald-hashimoto,lost,Republican,2010,congressional
Dave Heller,/candidate/120042/dave-heller,lost,Green,2010,congressional
Barbara Lee,/candidate/8315/barbara-lee,won,Democratic,2010,congressional
Gary Clift,/candidate/114591/gary-clift,lost,Republican,2010,congressional
Jeremy Cloward,/candidate/114606/jeremy-cloward,lost,Green,2010,congressional
John Garamendi,/candidate/29664/john-garamendi,won,Democratic,2010,congressional
David Christensen,/candidate/120048/david-christensen,lost,American Independent,2010,congressional
David Harmer,/candidate/114593/david-harmer,lost,Republican,2010,congressional
Jerry McNerney,/candidate/29474/jerry-mcnerney,won,Democratic,2010,congressional
Mike Moloney,/candidate/16877/mike-moloney,lost,Republican,2010,congressional
Jackie Speier,/candidate/8425/jackie-speier,won,Democratic,2010,congressional
Mark Williams,/candidate/120049/mark-williams,lost,Libertarian,2010,congressional
Forest Baker,/candidate/120051/forest-baker,lost,Republican,2010,congressional
Pete Stark,/candidate/26736/pete-stark,won,Democratic,2010,congressional
Dave Chapman,/candidate/120053/dave-chapman,lost,Republican,2010,congressional
Anna Eshoo,/candidate/26741/anna-eshoo,won,Democratic,2010,congressional
Paul Lazaga,/candidate/120054/paul-lazaga,lost,Libertarian,2010,congressional
Mike Honda,/candidate/9674/mike-honda,won,Democratic,2010,congressional
Scott Kirkland,/candidate/120056/scott-kirkland,lost,Republican,2010,congressional
Edward Gonzalez,/candidate/120057/edward-gonzalez,lost,Libertarian,2010,congressional
Zoe Lofgren,/candidate/21899/zoe-lofgren,won,Democratic,2010,congressional
Dan Sahagun,/candidate/127678/dan-sahagun,lost,Republican,2010,congressional
Sam Farr,/candidate/26745/sam-farr,won,Democratic,2010,congressional
Mary Larkin,/candidate/120061/mary-larkin,lost,Libertarian,2010,congressional
Eric Petersen,/candidate/120060/eric-petersen,lost,Green,2010,congressional
Jeffrey Taylor,/candidate/104265/jeffrey-taylor,lost,Republican,2010,congressional
"Mike Berryhill, Sr.",/candidate/120062/mike-berryhill-sr,lost,Republican,2010,congressional
Dennis Cardoza,/candidate/9680/dennis-cardoza,won,Democratic,2010,congressional
Jeff Denham,/candidate/28769/jeff-denham,won,Republican,2010,congressional
Loraine Goodwin,/candidate/120063/loraine-goodwin,lost,Democratic,2010,congressional
Jim Costa,/candidate/3577/jim-costa,won,Democratic,2010,congressional
Andy Vidak,/candidate/120067/andy-vidak,lost,Republican,2010,congressional
Devin Nunes,/candidate/16725/devin-nunes,won,Republican,2010,congressional
Kevin McCarthy,/candidate/28918/kevin-mccarthy,won,Republican,2010,congressional
Lois Capps,/candidate/16886/lois-capps,won,Democratic,2010,congressional
John Hager,/candidate/128326/john-hager,lost,Independent,2010,congressional
Darrell Stafford,/candidate/120073/darrell-stafford,lost,Libertarian,2010,congressional
Tom Watson,/candidate/120072/tom-watson,lost,Republican,2010,congressional
Tim Allison,/candidate/120074/tim-allison,lost,Democratic,2010,congressional
Elton Gallegly,/candidate/26750/elton-gallegly,won,Republican,2010,congressional
Jackie Conaway,/candidate/104270/jackie-conaway,lost,Democratic,2010,congressional
Buck McKeon,/candidate/26755/buck-mckeon,won,Republican,2010,congressional
David Dreier,/candidate/26765/david-dreier,won,Republican,2010,congressional
David Miller,/candidate/120297/david-miller,lost,American Independent,2010,congressional
Russell Warner,/candidate/59822/russell-warner,lost,Democratic,2010,congressional
Randy Weissbuch,/candidate/29452/randy-weissbuch,lost,Libertarian,2010,congressional
Mark Reed,/candidate/120298/mark-reed,lost,Republican,2010,congressional
Brad Sherman,/candidate/142/brad-sherman,won,Democratic,2010,congressional
Howard Berman,/candidate/26756/howard-berman,won,Democratic,2010,congressional
Merlin Froyd,/candidate/120078/merlin-froyd,lost,Republican,2010,congressional
Carlos Rodriguez,/candidate/120079/carlos-rodriguez,lost,Libertarian,2010,congressional
John Colbert,/candidate/120080/john-colbert,lost,Republican,2010,congressional
Bill Cushing,/candidate/120081/bill-cushing,lost,Libertarian,2010,congressional
Adam Schiff,/candidate/9489/adam-schiff,won,Democratic,2010,congressional
Richard Castaldo,/candidate/120087/richard-castaldo,lost,Peace and Freedom,2010,congressional
Erich Miller,/candidate/144/erich-miller,lost,Libertarian,2010,congressional
Henry Waxman,/candidate/26753/henry-waxman,won,Democratic,2010,congressional
Chuck Wilkerson,/candidate/120086/chuck-wilkerson,lost,Republican,2010,congressional
Xavier Becerra,/candidate/26754/xavier-becerra,won,Democratic,2010,congressional
Stephen Smith,/candidate/120088/stephen-smith,lost,Republican,2010,congressional
Judy Chu,/candidate/16539/judy-chu,won,Democratic,2010,congressional
Edward Schmerling,/candidate/120089/edward-schmerling,lost,Republican,2010,congressional
James Andion,/candidate/57277/james-andion,lost,Republican,2010,congressional
Karen Bass,/candidate/28963/karen-bass,won,Democratic,2010,congressional
