name,url,status,party,year,election
John Boozman,/candidate/27958/john-boozman,won,Republican,2001,congressional
Brad Cates,/candidate/27725/brad-cates,lost,Republican,2001,congressional
Norman Williams Jr.,/candidate/27790/norman-williams-jr,lost,Democratic,2001,congressional
Ezola Foster,/candidate/53409/ezola-foster,lost,,2001,congressional
Noel Irwin Hentschel,/candidate/53416/noel-irwin-hentschel,lost,Republican,2001,congressional
Donna Warren,/candidate/53407/donna-warren,lost,Green Party,2001,congressional
Diane Watson,/candidate/3587/diane-watson,won,Democratic,2001,congressional
Steve Briese,/candidate/53970/steve-briese,lost,Democratic,2001,congressional
Jeff Miller,/candidate/17276/jeff-miller,won,Republican,2001,congressional
Floyd Miller,/candidate/53924/floyd-miller,lost,WRI,2001,congressional
John Ralls Jr.,/candidate/53821/john-ralls-jr,lost,No Party Affiliation,2001,congressional
Thomas Wells,/candidate/748/thomas-wells,lost,WRI,2001,congressional
"William Ferguson, Jr.",/candidate/21943/william-ferguson-jr,lost,Democratic,2001,congressional
Stephen Lynch,/candidate/4844/stephen-lynch,won,Democratic,2001,congressional
William McKinney,/candidate/35757/william-mckinney,lost,Republican,2001,congressional
William Sinnott,/candidate/35941/william-sinnott,lost,Democratic,2001,congressional
Jo Ann Sprague,/candidate/4883/jo-ann-sprague,lost,Republican,2001,congressional
Scott Conklin,/candidate/9854/scott-conklin,lost,Democratic,2001,congressional
Alanna Hartzok,/candidate/55682/alanna-hartzok,lost,Green Party,2001,congressional
Bill Shuster,/candidate/55693/bill-shuster,won,Republican,2001,congressional
Brent Weaver,/candidate/47889/brent-weaver,lost,,2001,congressional
"Joe Wilson, Sr.",/candidate/3985/joe-wilson-sr,won,Republican,2001,congressional
Randy Forbes,/candidate/5146/randy-forbes,won,Republican,2001,congressional
