name,url,status,party,year,election
Patricia Chesbro,/candidate/68296/patricia-chesbro,lost,Democratic,2022,congressional
Ted Gianoutsos,/candidate/27156/ted-gianoutsos,lost,"No Party Affiliation, Write-In",2022,congressional
Shoshana Gungerstein,/candidate/207789/shoshana-gungerstein,lost,"No Party Affiliation, Write-In",2022,congressional
Sid Hill,/candidate/145962/sid-hill,lost,"No Party Affiliation, Write-In",2022,congressional
Buzz Kelley,/candidate/207793/buzz-kelley,unknown,Republican,2022,congressional
Lisa Murkowski,/candidate/15841/lisa-murkowski,won,Republican,2022,congressional
Joe Stephens,/candidate/207804/joe-stephens,lost,"Alaskan Independence, Undeclared, Write-In",2022,congressional
Kelly Tshibaka,/candidate/207809/kelly-tshibaka,lost,Republican,2022,congressional
Nick Begich III,/candidate/207684/nick-begich-iii,lost,Republican,2022,congressional
Chris Bye,/candidate/207603/chris-bye,lost,"Libertarian, Write-In",2022,congressional
Lady Dutchess,/candidate/207606/lady-dutchess,lost,"No Party Affiliation, Write-In",2022,congressional
Al Gross,/candidate/192362/al-gross,unknown,No Party Affiliation,2022,congressional
Robert Ornelas,/candidate/143202/robert-ornelas,lost,"American Independent, Write-In",2022,congressional
Sarah Palin,/candidate/27200/sarah-palin,lost,Republican,2022,congressional
Mary Peltola,/candidate/15858/mary-peltola,won,Democratic,2022,congressional
Sherry Strizak,/candidate/207821/sherry-strizak,lost,"Undeclared, Write-In",2022,congressional
Tara Sweeney,/candidate/27209/tara-sweeney,lost,"Republican, Write-In",2022,congressional
Ernest Thomas,/candidate/207622/ernest-thomas,lost,"Democratic, Write-In",2022,congressional
David Ambrose,/candidate/210770/david-ambrose,lost,Write-In,2022,congressional
Jay Armstrong,/candidate/207599/jay-armstrong,lost,"Republican, Write-In",2022,congressional
Nick Begich III,/candidate/207684/nick-begich-iii,lost,Republican,2022,congressional
Joe Bredar,/candidate/210771/joe-bredar,lost,"Undeclared, Write-In",2022,congressional
Chris Bye,/candidate/207603/chris-bye,lost,Libertarian,2022,congressional
Lady Dutchess,/candidate/207606/lady-dutchess,lost,"No Party Affiliation, Write-In",2022,congressional
Robert Ornelas,/candidate/143202/robert-ornelas,lost,"American Independent, Write-In",2022,congressional
Sarah Palin,/candidate/27200/sarah-palin,lost,Republican,2022,congressional
Mary Peltola,/candidate/15858/mary-peltola,won,Democratic,2022,congressional
Brad Snowden,/candidate/15852/brad-snowden,lost,"Republican, Write-In",2022,congressional
Sherry Strizak,/candidate/207821/sherry-strizak,lost,"Undeclared, Write-In",2022,congressional
Ernest Thomas,/candidate/207622/ernest-thomas,lost,"Democratic, Write-In",2022,congressional
