name,url,status,party,year,election
Al Gross,/candidate/192362/al-gross,lost,"Democratic, Independent",2020,congressional
John Howe,/candidate/192368/john-howe,lost,Alaskan Independence,2020,congressional
Dan Sullivan,/candidate/114964/dan-sullivan,won,Republican,2020,congressional
Jed Whittaker,/candidate/2/jed-whittaker,lost,"Green Party, Write-In",2020,congressional
Alyse Galvin,/candidate/182516/alyse-galvin,lost,Democratic,2020,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2020,congressional
Doug Jones,/candidate/176464/doug-jones,lost,Democratic,2020,congressional
Tommy Tuberville,/candidate/188306/tommy-tuberville,won,Republican,2020,congressional
"James Averhart, Jr.",/candidate/188300/james-averhart-jr,lost,Democratic,2020,congressional
Jerry Carl,/candidate/143749/jerry-carl,won,Republican,2020,congressional
Phyllis Harvey-Hall,/candidate/188303/phyllis-harvey-hall,lost,Democratic,2020,congressional
Barry Moore,/candidate/121792/barry-moore,won,Republican,2020,congressional
Mike Rogers,/candidate/5705/mike-rogers,won,Republican,2020,congressional
Adia Winfrey,/candidate/178773/adia-winfrey,lost,Democratic,2020,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,2020,congressional
Rick Neighbors,/candidate/135112/rick-neighbors,lost,Democratic,2020,congressional
Mo Brooks,/candidate/121610/mo-brooks,won,Republican,2020,congressional
Gary Palmer,/candidate/146274/gary-palmer,won,Republican,2020,congressional
Terri Sewell,/candidate/121621/terri-sewell,won,Democratic,2020,congressional
Tom Cotton,/candidate/135651/tom-cotton,won,Republican,2020,congressional
"Ricky Harrington, Jr.",/candidate/187707/ricky-harrington-jr,lost,Libertarian,2020,congressional
Rick Crawford,/candidate/119208/rick-crawford,won,Republican,2020,congressional
Joyce Elliott,/candidate/27771/joyce-elliott,lost,Democratic,2020,congressional
French Hill,/candidate/146290/french-hill,won,Republican,2020,congressional
Joseph Smith II,/candidate/187706/joseph-smith-ii,unknown,Independent,2020,congressional
Michael Kalagias,/candidate/150257/michael-kalagias,lost,Libertarian,2020,congressional
Celeste Williams,/candidate/178596/celeste-williams,lost,Democratic,2020,congressional
Steve Womack,/candidate/71815/steve-womack,won,Republican,2020,congressional
Frank Gilbert,/candidate/141031/frank-gilbert,lost,Libertarian,2020,congressional
William Hanson,/candidate/187194/william-hanson,lost,Democratic,2020,congressional
Bruce Westerman,/candidate/119120/bruce-westerman,won,Republican,2020,congressional
Mark Kelly,/candidate/190594/mark-kelly,won,Democratic,2020,congressional
Martha McSally,/candidate/137299/martha-mcsally,lost,Republican,2020,congressional
Tom O'Halleran,/candidate/28499/tom-ohalleran,won,Democratic,2020,congressional
Tiffany Shedd,/candidate/182228/tiffany-shedd,lost,Republican,2020,congressional
Ann Kirkpatrick,/candidate/28425/ann-kirkpatrick,won,Democratic,2020,congressional
Iman-Utopia Layjou Bah,/candidate/193677/iman-utopia-layjou-bah,lost,Independent,2020,congressional
Brandon Martin,/candidate/182230/brandon-martin,lost,Republican,2020,congressional
Raul Grijalva,/candidate/28253/raul-grijalva,won,Democratic,2020,congressional
Daniel Wood,/candidate/190600/daniel-wood,lost,Republican,2020,congressional
Delina DiSanto,/candidate/182240/delina-disanto,lost,Democratic,2020,congressional
Paul Gosar,/candidate/123491/paul-gosar,won,Republican,2020,congressional
Emily Robinson,/candidate/193679/emily-robinson,unknown,Independent,2020,congressional
Andy Biggs,/candidate/28088/andy-biggs,won,Republican,2020,congressional
