name,url,status,party,year,election
Ed Case,/candidate/3422/ed-case,won,Democratic,2002,congressional
"Jeff Mallan, Jr.",/candidate/1189/jeff-mallan-jr,lost,Libertarian,2002,congressional
Solomon D.K. Nalua'i,/candidate/17735/solomon-dk-naluai,lost,Democratic,2002,congressional
Jim Dore,/candidate/15854/jim-dore,lost,Alaska Independent,2002,congressional
Leonard Karpinski,/candidate/27230/leonard-karpinski,lost,Libertarian,2002,congressional
Ted Stevens,/candidate/53268/ted-stevens,won,Republican,2002,congressional
James Sykes,/candidate/15796/james-sykes,lost,Green Party,2002,congressional
Frank Vondersaar,/candidate/15793/frank-vondersaar,lost,Democratic,2002,congressional
"Robert Edward Clift, Jr.",/candidate/27233/robert-edward-clift-jr,lost,Libertarian,2002,congressional
Russell DeForest,/candidate/27251/russell-deforest,lost,Green Party,2002,congressional
Clifford Mark Greene,/candidate/27289/clifford-mark-greene,lost,Democratic,2002,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2002,congressional
Jeff Allen,/candidate/27554/jeff-allen,lost,Libertarian,2002,congressional
Susan Parker,/candidate/15/susan-parker,lost,Democratic,2002,congressional
Jeff Sessions III,/candidate/443/jeff-sessions-iii,won,Republican,2002,congressional
Judy McCain Belk,/candidate/27443/judy-mccain-belk,lost,Democratic,2002,congressional
"Jo Bonner, Jr.",/candidate/27522/jo-bonner-jr,won,Republican,2002,congressional
Dick Coffee,/candidate/53384/dick-coffee,lost,Libertarian,2002,congressional
Terry Everett,/candidate/26711/terry-everett,won,Republican,2002,congressional
Floyd Shackelford,/candidate/27633/floyd-shackelford,lost,Libertarian,2002,congressional
Charles Woods,/candidate/27456/charles-woods,lost,Democratic,2002,congressional
George Crispin,/candidate/27574/george-crispin,lost,Libertarian,2002,congressional
Mike Rogers,/candidate/5705/mike-rogers,won,Republican,2002,congressional
Joe Turnham,/candidate/15967/joe-turnham,lost,Democratic,2002,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,2002,congressional
Tony McLendon,/candidate/27568/tony-mclendon,lost,Libertarian,2002,congressional
Alan Fulton Barksdale,/candidate/643/alan-fulton-barksdale,lost,Libertarian,2002,congressional
Robert Cramer,/candidate/26714/robert-cramer,won,Democratic,2002,congressional
Stephen Engel,/candidate/27453/stephen-engel,lost,Republican,2002,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,2002,congressional
James Holden McAllister,/candidate/27465/james-holden-mcallister,lost,Libertarian,2002,congressional
Artur Davis,/candidate/27560/artur-davis,won,Democratic,2002,congressional
Lauren Orth McCay,/candidate/27437/lauren-orth-mccay,lost,Libertarian,2002,congressional
Y. Tim Hutchinson,/candidate/26726/y-tim-hutchinson,lost,Republican,2002,congressional
Mark Pryor,/candidate/35/mark-pryor,won,Democratic,2002,congressional
Marion Berry,/candidate/430/marion-berry,won,Democratic,2002,congressional
Tommy Robinson,/candidate/27753/tommy-robinson,lost,Republican,2002,congressional
Vic Snyder,/candidate/434/vic-snyder,won,Democratic,2002,congressional
John Boozman,/candidate/27958/john-boozman,won,Republican,2002,congressional
George Lyne,/candidate/28055/george-lyne,lost,Independent,2002,congressional
Jay Dickey,/candidate/26727/jay-dickey,lost,Republican,2002,congressional
Mike Ross,/candidate/24571/mike-ross,won,Democratic,2002,congressional
George Cordova,/candidate/28134/george-cordova,lost,Democratic,2002,congressional
Edwin Porr,/candidate/28534/edwin-porr,lost,Libertarian,2002,congressional
Richard Renzi,/candidate/28172/richard-renzi,won,Republican,2002,congressional
Bruce Whiting,/candidate/28427/bruce-whiting,lost,Republican,2002,congressional
Randy Camacho,/candidate/153727/randy-camacho,lost,Democratic,2002,congressional
Edward Carlson,/candidate/28167/edward-carlson,lost,Libertarian,2002,congressional
William Crum,/candidate/28401/william-crum,lost,Write-In,2002,congressional
Trent Franks,/candidate/28399/trent-franks,won,Republican,2002,congressional
Charles Hill,/candidate/28432/charles-hill,lost,Democratic,2002,congressional
John Shadegg,/candidate/22186/john-shadegg,won,Republican,2002,congressional
Mark Yannone,/candidate/22196/mark-yannone,lost,Libertarian,2002,congressional
Jonathan Barnert,/candidate/28325/jonathan-barnert,lost,Republican,2002,congressional
Amy Gibbons,/candidate/28465/amy-gibbons,lost,Libertarian,2002,congressional
Ed Pastor,/candidate/26719/ed-pastor,won,Democratic,2002,congressional
Craig Columbus,/candidate/28503/craig-columbus,lost,Democratic,2002,congressional
"J.D. Hayworth, Jr.",/candidate/22187/jd-hayworth-jr,won,Republican,2002,congressional
Warren Severin,/candidate/28314/warren-severin,lost,Libertarian,2002,congressional
Jeff Flake,/candidate/28128/jeff-flake,won,Republican,2002,congressional
Deborah Thomas,/candidate/28315/deborah-thomas,lost,Democratic,2002,congressional
Andy Wagner,/candidate/28171/andy-wagner,lost,Libertarian,2002,congressional
Raul Grijalva,/candidate/28253/raul-grijalva,won,Democratic,2002,congressional
Ross Hieb,/candidate/28083/ross-hieb,lost,Republican,2002,congressional
John Nemeth,/candidate/28120/john-nemeth,lost,Libertarian,2002,congressional
Richard Quint,/candidate/28360/richard-quint,unknown,Democratic,2002,congressional
Alexander Schneider,/candidate/622/alexander-schneider,unknown,Democratic,2002,congressional
James Dorrance,/candidate/28393/james-dorrance,lost,Write-In,2002,congressional
Joe Duarte,/candidate/28225/joe-duarte,lost,Libertarian,2002,congressional
James Kolbe,/candidate/26722/james-kolbe,won,Republican,2002,congressional
Mary Judge Ryan,/candidate/28092/mary-judge-ryan,lost,Democratic,2002,congressional
Kevin Bastian,/candidate/29139/kevin-bastian,lost,Libertarian,2002,congressional
Mike Thompson,/candidate/3564/mike-thompson,won,Democratic,2002,congressional
Lawrence Wiesner,/candidate/29503/lawrence-wiesner,lost,Republican,2002,congressional
"Wally Herger, Jr.",/candidate/26728/wally-herger-jr,won,Republican,2002,congressional
Michael Johnson,/candidate/28914/michael-johnson,lost,Democratic,2002,congressional
Charles Martin,/candidate/29529/charles-martin,lost,Libertarian,2002,congressional
Patrice Thiessen,/candidate/77/patrice-thiessen,lost,,2002,congressional
Howard Beeman,/candidate/16659/howard-beeman,lost,Democratic,2002,congressional
Doug Ose,/candidate/16472/doug-ose,won,Republican,2002,congressional
Art Tuma,/candidate/16540/art-tuma,lost,Libertarian,2002,congressional
John Doolittle,/candidate/26743/john-doolittle,won,Republican,2002,congressional
Mark Norberg,/candidate/16724/mark-norberg,lost,Democratic,2002,congressional
Allen Roberts,/candidate/29381/allen-roberts,lost,Libertarian,2002,congressional
Richard Frankhuizen,/candidate/29478/richard-frankhuizen,lost,Republican,2002,congressional
Robert Matsui,/candidate/26730/robert-matsui,won,Democratic,2002,congressional
Timothy Roloff,/candidate/29714/timothy-roloff,lost,Libertarian,2002,congressional
Richard Barton,/candidate/28666/richard-barton,lost,Libertarian,2002,congressional
Paul Erickson,/candidate/28565/paul-erickson,lost,Republican,2002,congressional
Jeff Rainforth,/candidate/29445/jeff-rainforth,lost,,2002,congressional
Lynn Woolsey,/candidate/26733/lynn-woolsey,won,Democratic,2002,congressional
Charles Hargrave,/candidate/29718/charles-hargrave,lost,Republican,2002,congressional
George Miller,/candidate/26734/george-miller,won,Democratic,2002,congressional
Scott Wilson,/candidate/28777/scott-wilson,lost,Libertarian,2002,congressional
G. Michael German,/candidate/29188/g-michael-german,lost,Republican,2002,congressional
Nancy Pelosi,/candidate/26732/nancy-pelosi,won,Democratic,2002,congressional
