name,url,status,party,year,election
Bradley Byrne,/candidate/27584/bradley-byrne,won,Republican,2013,congressional
Burton LeFlore,/candidate/144638/burton-leflore,lost,Democratic,2013,congressional
LeAlan Jones,/candidate/116490/lealan-jones,lost,Green Party,2013,congressional
Robin Kelly,/candidate/33384/robin-kelly,won,Democratic,2013,congressional
Marcus Lewis,/candidate/142342/marcus-lewis,lost,Independent,2013,congressional
Curtiss Llong Bey,/candidate/144442/curtiss-llong-bey,lost,Independent,2013,congressional
Paul McKinley,/candidate/144249/paul-mckinley,lost,Republican,2013,congressional
Elizabeth Pahlke,/candidate/144443/elizabeth-pahlke,lost,Independent,2013,congressional
"Vance McAllister, Sr.",/candidate/145379/vance-mcallister-sr,won,Republican,2013,congressional
Neil Riser,/candidate/93593/neil-riser,lost,Republican,2013,congressional
Gabriel Gomez,/candidate/144464/gabriel-gomez,lost,Republican,2013,congressional
Richard Heos,/candidate/144658/richard-heos,lost,Twelve Visions,2013,congressional
Ed Markey,/candidate/26900/ed-markey,won,Democratic,2013,congressional
"Frank Addivinola, Jr.",/candidate/125294/frank-addivinola-jr,lost,Republican,2013,congressional
James Aulenti,/candidate/146021/james-aulenti,lost,Independent,2013,congressional
Katherine Clark,/candidate/35858/katherine-clark,won,Democratic,2013,congressional
Jim Hall,/candidate/35675/jim-hall,lost,Justice Peace Security,2013,congressional
Doug Enyart,/candidate/144457/doug-enyart,lost,Constitution,2013,congressional
Steve Hodges,/candidate/66692/steve-hodges,lost,Democratic,2013,congressional
Bill Slantz,/candidate/123594/bill-slantz,lost,Libertarian,2013,congressional
Jason Smith,/candidate/59318/jason-smith,won,Republican,2013,congressional
Cory Booker,/candidate/76151/cory-booker,won,Democratic,2013,congressional
Robert DePasquale,/candidate/145145/robert-depasquale,lost,Independent,2013,congressional
Eugene LaVergne,/candidate/24688/eugene-lavergne,lost,D-R Party,2013,congressional
Steve Lonegan,/candidate/24771/steve-lonegan,lost,Republican,2013,congressional
Stuart Meissner,/candidate/145147/stuart-meissner,lost,Alimony Reform Now,2013,congressional
Pablo Olivera,/candidate/43350/pablo-olivera,lost,Unity Is Strength,2013,congressional
Antonio Sabas,/candidate/145148/antonio-sabas,lost,Freedom of Choice,2013,congressional
"Edward Stackhouse, Jr.",/candidate/145149/edward-stackhouse-jr,lost,Ed the Barber,2013,congressional
Elizabeth Colbert-Busch,/candidate/144292/elizabeth-colbert-busch,lost,Democratic,2013,congressional
Eugene Platt,/candidate/56502/eugene-platt,lost,Green Party,2013,congressional
"Mark Sanford, Jr.",/candidate/21991/mark-sanford-jr,won,Republican,2013,congressional
