name,url,status,party,year,election
Janice Hahn,/candidate/70502/janice-hahn,won,Democratic,2011,congressional
Craig Huey,/candidate/129230/craig-huey,lost,Republican,2011,congressional
Mark Amodei,/candidate/12537/mark-amodei,won,Republican,2011,congressional
George Bay,/candidate/131423/george-bay,unknown,Democratic,2011,congressional
Greg Brower,/candidate/22804/greg-brower,unknown,Republican,2011,congressional
Tim Fasano,/candidate/121975/tim-fasano,lost,Independent American,2011,congressional
Helmuth Lehmann,/candidate/131441/helmuth-lehmann,lost,Independent,2011,congressional
Kate Marshall,/candidate/76401/kate-marshall,lost,Democratic,2011,congressional
Nancy Price,/candidate/22729/nancy-price,unknown,Democratic,2011,congressional
Christopher Hoeppner,/candidate/134212/christopher-hoeppner,lost,Socialist Workers Party,2011,congressional
Bob Turner,/candidate/127071/bob-turner,won,"Conservative, Republican",2011,congressional
David Weprin,/candidate/80379/david-weprin,lost,"Democratic, Independence, Working Families",2011,congressional
Jane Corwin,/candidate/110467/jane-corwin,lost,"Conservative, Republican",2011,congressional
Jack Davis,/candidate/45023/jack-davis,lost,Tea,2011,congressional
Kathy Hochul,/candidate/129238/kathy-hochul,won,"Democratic, Working Families",2011,congressional
Ian Murphy,/candidate/129239/ian-murphy,lost,Green Party,2011,congressional
