name,url,status,party,year,election
Robert Ahn,/candidate/176111/robert-ahn,lost,Democratic,2017,congressional
Jimmy Gomez,/candidate/138524/jimmy-gomez,won,Democratic,2017,congressional
David Abroms,/candidate/176133/david-abroms,lost,Republican,2017,congressional
Mohammad Ali Bhuiyan,/candidate/176137/mohammad-ali-bhuiyan,lost,Republican,2017,congressional
Ragin Edwards,/candidate/176138/ragin-edwards,lost,Democratic,2017,congressional
Keith Grawert,/candidate/176136/keith-grawert,lost,Republican,2017,congressional
Bob Gray,/candidate/157553/bob-gray,lost,Republican,2017,congressional
Karen Handel,/candidate/69553/karen-handel,won,Republican,2017,congressional
Alexander Hernandez,/candidate/176129/alexander-hernandez,lost,Independent,2017,congressional
Judson Hill,/candidate/32115/judson-hill,lost,Republican,2017,congressional
Richard Keatley,/candidate/176140/richard-keatley,lost,Democratic,2017,congressional
Amy Kremer,/candidate/176130/amy-kremer,lost,Republican,2017,congressional
Bruce Levell,/candidate/176132/bruce-levell,lost,Republican,2017,congressional
William Llop,/candidate/140216/william-llop,lost,Republican,2017,congressional
Dan Moody,/candidate/31769/dan-moody,lost,Republican,2017,congressional
Jon Ossoff,/candidate/176134/jon-ossoff,won,Democratic,2017,congressional
Andre Pollard,/candidate/176131/andre-pollard,lost,Independent,2017,congressional
Rebecca Quigg,/candidate/176139/rebecca-quigg,lost,Democratic,2017,congressional
Ronald Slotin,/candidate/7827/ronald-slotin,lost,Democratic,2017,congressional
Kurt Wilson,/candidate/168138/kurt-wilson,lost,Republican,2017,congressional
Ron Estes,/candidate/125031/ron-estes,won,Republican,2017,congressional
Chris Rockhold,/candidate/153069/chris-rockhold,lost,Libertarian,2017,congressional
James Thompson,/candidate/176143/james-thompson,lost,Democratic,2017,congressional
Greg Gianforte,/candidate/168594/greg-gianforte,won,Republican,2017,congressional
Rob Quist,/candidate/176182/rob-quist,lost,Democratic,2017,congressional
Mark Wicks,/candidate/176183/mark-wicks,lost,Libertarian,2017,congressional
Victor Kocher,/candidate/47859/victor-kocher,lost,Libertarian,2017,congressional
David Kulma,/candidate/176453/david-kulma,lost,Green Party,2017,congressional
"Ralph Norman, Jr.",/candidate/47930/ralph-norman-jr,won,Republican,2017,congressional
Archie Parnell,/candidate/176186/archie-parnell,lost,Democratic,2017,congressional
Josh Thornton,/candidate/176454/josh-thornton,lost,American,2017,congressional
Kathie Allen,/candidate/176616/kathie-allen,lost,Democratic,2017,congressional
Jim Bennett,/candidate/58029/jim-bennett,lost,United Utah Party,2017,congressional
Joseph Buchman,/candidate/103472/joseph-buchman,lost,Libertarian,2017,congressional
Jason Christensen,/candidate/151553/jason-christensen,lost,Independent American,2017,congressional
John Curtis,/candidate/123390/john-curtis,won,Republican,2017,congressional
Brendan Phillips,/candidate/176701/brendan-phillips,unknown,Write-In,2017,congressional
Russell Roesler,/candidate/176617/russell-roesler,unknown,Write-In,2017,congressional
Sean Whalen,/candidate/176618/sean-whalen,lost,Unaffiliated,2017,congressional
