name,url,status,party,year,election
Barbara Lee,/candidate/8315/barbara-lee,won,Democratic,1998,congressional
Lois Capps,/candidate/16886/lois-capps,won,Democratic,1998,congressional
Mary Bono Mack,/candidate/1434/mary-bono-mack,won,Republican,1998,congressional
Jeffrey Gottlieb,/candidate/15842/jeffrey-gottlieb,lost,Green Party,1998,congressional
Scott Kohlhaas,/candidate/15810/scott-kohlhaas,lost,Libertarian,1998,congressional
Frank Murkowski,/candidate/53267/frank-murkowski,won,Republican,1998,congressional
Joseph Sonneman,/candidate/15859/joseph-sonneman,lost,Democratic,1998,congressional
Jim Duncan,/candidate/8811/jim-duncan,lost,Democratic,1998,congressional
John J.G. Grames,/candidate/15814/john-jg-grames,lost,Green Party,1998,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,1998,congressional
Richard Shelby,/candidate/53266/richard-shelby,won,Republican,1998,congressional
Clayton Suddith,/candidate/16009/clayton-suddith,lost,Democratic,1998,congressional
Herbert Callahan,/candidate/26710/herbert-callahan,won,Republican,1998,congressional
Terry Everett,/candidate/26711/terry-everett,won,Republican,1998,congressional
Gerald Joseph Fondren,/candidate/15886/gerald-joseph-fondren,lost,Democratic,1998,congressional
Bob Riley,/candidate/440/bob-riley,won,Republican,1998,congressional
Joe Turnham,/candidate/15967/joe-turnham,lost,Democratic,1998,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,1998,congressional
Don Bevill,/candidate/16054/don-bevill,lost,Democratic,1998,congressional
Gil Aust,/candidate/15970/gil-aust,lost,Republican,1998,congressional
Robert Cramer,/candidate/26714/robert-cramer,won,Democratic,1998,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,1998,congressional
Donna Smalley,/candidate/15932/donna-smalley,lost,Democratic,1998,congressional
"Earl Hilliard, Sr.",/candidate/26716/earl-hilliard-sr,won,Democratic,1998,congressional
Sundra Escott,/candidate/5600/sundra-escott,won,Democratic,1998,congressional
Fay Boozman III,/candidate/24513/fay-boozman-iii,lost,Republican,1998,congressional
Scott Ferguson,/candidate/24604/scott-ferguson,lost,Democratic,1998,congressional
Charles Heffley,/candidate/16223/charles-heffley,lost,Reform,1998,congressional
Blanche Lincoln,/candidate/26723/blanche-lincoln,won,Democratic,1998,congressional
Marion Berry,/candidate/430/marion-berry,won,Democratic,1998,congressional
Vic Snyder,/candidate/434/vic-snyder,won,Democratic,1998,congressional
Phillip Wyrick,/candidate/24668/phillip-wyrick,lost,Republican,1998,congressional
Justice Ralph Forbes,/candidate/16183/justice-ralph-forbes,lost,Reform,1998,congressional
Asa Hutchinson,/candidate/732/asa-hutchinson,won,Republican,1998,congressional
Jay Dickey,/candidate/26727/jay-dickey,won,Republican,1998,congressional
Judy Seriale Smith,/candidate/24648/judy-seriale-smith,lost,Democratic,1998,congressional
Tom Wynne,/candidate/16115/tom-wynne,unknown,Democratic,1998,congressional
Eni Faleomavaega,/candidate/774/eni-faleomavaega,won,Democratic,1998,congressional
John McCain III,/candidate/53270/john-mccain-iii,won,Republican,1998,congressional
Robert Park,/candidate/16339/robert-park,lost,Reform,1998,congressional
Edward Ranger,/candidate/16305/edward-ranger,lost,Democratic,1998,congressional
Bill Reilly,/candidate/16329/bill-reilly,lost,,1998,congressional
John Zajac,/candidate/624/john-zajac,lost,Libertarian,1998,congressional
John Cox,/candidate/16383/john-cox,unknown,Democratic,1998,congressional
David Mendoza,/candidate/16302/david-mendoza,lost,Democratic,1998,congressional
Matt Salmon,/candidate/22184/matt-salmon,won,Republican,1998,congressional
Edward Clyde Barron,/candidate/16365/edward-clyde-barron,lost,Republican,1998,congressional
Richard Duncan,/candidate/12232/richard-duncan,lost,Libertarian,1998,congressional
Ed Pastor,/candidate/26719/ed-pastor,won,Democratic,1998,congressional
Gregory Russell Schultz,/candidate/16309/gregory-russell-schultz,lost,Reform,1998,congressional
"Benjamin Jankowski, Jr.",/candidate/16315/benjamin-jankowski-jr,lost,,1998,congressional
Stuart Starky,/candidate/16290/stuart-starky,lost,Democratic,1998,congressional
Bob Stump,/candidate/26720/bob-stump,won,Republican,1998,congressional
Eric Ehst,/candidate/12239/eric-ehst,lost,Democratic,1998,congressional
Ernest Hancock III,/candidate/12307/ernest-hancock-iii,lost,Libertarian,1998,congressional
Doug Quelland,/candidate/16323/doug-quelland,lost,Independent,1998,congressional
John Shadegg,/candidate/22186/john-shadegg,won,Republican,1998,congressional
"Robert Connery, Sr.",/candidate/16311/robert-connery-sr,lost,Reform,1998,congressional
James Kolbe,/candidate/26722/james-kolbe,won,Republican,1998,congressional
Phillip Wayne Murphy,/candidate/16373/phillip-wayne-murphy,lost,Libertarian,1998,congressional
Thomas John Volgy,/candidate/16343/thomas-john-volgy,lost,Democratic,1998,congressional
Robert Anderson,/candidate/625/robert-anderson,lost,Libertarian,1998,congressional
"J.D. Hayworth, Jr.",/candidate/22187/jd-hayworth-jr,won,Republican,1998,congressional
Stephen Owens,/candidate/626/stephen-owens,lost,Democratic,1998,congressional
Ophie Beltran,/candidate/16590/ophie-beltran,lost,Peace and Freedom,1998,congressional
Barbara Boxer,/candidate/53274/barbara-boxer,won,Democratic,1998,congressional
Ted Brown,/candidate/9771/ted-brown,lost,Libertarian,1998,congressional
Timothy Erich,/candidate/79/timothy-erich,lost,Reform,1998,congressional
Matt Fong,/candidate/16879/matt-fong,lost,Republican,1998,congressional
"H. Joseph Perrin, Sr.",/candidate/16856/h-joseph-perrin-sr,lost,Independent,1998,congressional
Brian Rees,/candidate/167/brian-rees,lost,,1998,congressional
"Ernest Kent Jones, Jr.",/candidate/88/ernest-kent-jones-jr,lost,,1998,congressional
Mark Luce,/candidate/16748/mark-luce,lost,Republican,1998,congressional
Emil Rossi,/candidate/74/emil-rossi,lost,Libertarian,1998,congressional
Mike Thompson,/candidate/3564/mike-thompson,won,Democratic,1998,congressional
Roberts Braden,/candidate/75/roberts-braden,lost,Democratic,1998,congressional
"Wally Herger, Jr.",/candidate/26728/wally-herger-jr,won,Republican,1998,congressional
Patrice Thiessen,/candidate/77/patrice-thiessen,lost,,1998,congressional
Ross Musgrave Crain,/candidate/1083/ross-musgrave-crain,lost,Libertarian,1998,congressional
Sandie Dunn,/candidate/16515/sandie-dunn,lost,Democratic,1998,congressional
Doug Ose,/candidate/16472/doug-ose,won,Republican,1998,congressional
John Doolittle,/candidate/26743/john-doolittle,won,Republican,1998,congressional
David Shapiro,/candidate/16824/david-shapiro,lost,Democratic,1998,congressional
Daniel Winterrowd,/candidate/16644/daniel-winterrowd,lost,Libertarian,1998,congressional
Robert Dinsmore,/candidate/82/robert-dinsmore,lost,Republican,1998,congressional
Robert Matsui,/candidate/26730/robert-matsui,won,Democratic,1998,congressional
Art Tuma,/candidate/16540/art-tuma,lost,Libertarian,1998,congressional
Alan Barreca,/candidate/9527/alan-barreca,lost,,1998,congressional
Kenneth McAuliffe,/candidate/16796/kenneth-mcauliffe,lost,Republican,1998,congressional
Lynn Woolsey,/candidate/26733/lynn-woolsey,won,Democratic,1998,congressional
George Miller,/candidate/26734/george-miller,won,Democratic,1998,congressional
Norman Reece,/candidate/89/norman-reece,lost,Republican,1998,congressional
David Martz,/candidate/16479/david-martz,lost,Republican,1998,congressional
Nancy Pelosi,/candidate/26732/nancy-pelosi,won,Democratic,1998,congressional
David Smithstein,/candidate/91/david-smithstein,lost,,1998,congressional
Barbara Lee,/candidate/8315/barbara-lee,won,Democratic,1998,congressional
Walter Kenneth Ruehlig,/candidate/16494/walter-kenneth-ruehlig,lost,Natural Law Party,1998,congressional
Gerald Sanders,/candidate/16569/gerald-sanders,lost,Peace and Freedom,1998,congressional
Claiborne Sanders,/candidate/1432/claiborne-sanders,lost,Republican,1998,congressional
Charles Ball,/candidate/16474/charles-ball,lost,Republican,1998,congressional
Valerie Janlois,/candidate/96/valerie-janlois,lost,,1998,congressional
John Place,/candidate/97/john-place,lost,Reform,1998,congressional
Ellen Tauscher,/candidate/94/ellen-tauscher,won,Democratic,1998,congressional
Jesse Baird,/candidate/16580/jesse-baird,lost,Libertarian,1998,congressional
Robert Figueroa,/candidate/16832/robert-figueroa,lost,Democratic,1998,congressional
Richard Pombo,/candidate/26740/richard-pombo,won,Republican,1998,congressional
"Robert Evans, Jr.",/candidate/16734/robert-evans-jr,lost,Republican,1998,congressional
Tom Lantos,/candidate/26739/tom-lantos,won,Democratic,1998,congressional
Mike Moloney,/candidate/16877/mike-moloney,lost,Libertarian,1998,congressional
Karnig Beylikjian,/candidate/16833/karnig-beylikjian,lost,Natural Law Party,1998,congressional
James Goetz,/candidate/16517/james-goetz,lost,Republican,1998,congressional
Pete Stark,/candidate/26736/pete-stark,won,Democratic,1998,congressional
Anna Currivan,/candidate/16561/anna-currivan,lost,Natural Law Party,1998,congressional
Joe Dehn,/candidate/107/joe-dehn,lost,Libertarian,1998,congressional
Anna Eshoo,/candidate/26741/anna-eshoo,won,Democratic,1998,congressional
John Haugen,/candidate/16556/john-haugen,lost,Republican,1998,congressional
Thomas Campbell,/candidate/71/thomas-campbell,won,Republican,1998,congressional
Dick Lane,/candidate/109/dick-lane,lost,Democratic,1998,congressional
Frank Strutner,/candidate/9673/frank-strutner,lost,Natural Law Party,1998,congressional
John Black,/candidate/126/john-black,lost,,1998,congressional
Zoe Lofgren,/candidate/21899/zoe-lofgren,won,Democratic,1998,congressional
Horace Eugene Thayn,/candidate/16622/horace-eugene-thayn,lost,Republican,1998,congressional
Sam Farr,/candidate/26745/sam-farr,won,Democratic,1998,congressional
Rick Garrett,/candidate/16558/rick-garrett,lost,Libertarian,1998,congressional
Scott Hartley,/candidate/9485/scott-hartley,lost,,1998,congressional
Bill McCampbell,/candidate/16522/bill-mccampbell,lost,Republican,1998,congressional
Gary Condit,/candidate/26744/gary-condit,won,Democratic,1998,congressional
Linda DeGroat,/candidate/16871/linda-degroat,lost,Libertarian,1998,congressional
George Radanovich,/candidate/21911/george-radanovich,won,Republican,1998,congressional
Jonathan Richter,/candidate/16747/jonathan-richter,lost,Libertarian,1998,congressional
Calvin Dooley,/candidate/26746/calvin-dooley,won,Democratic,1998,congressional
Cliff Unruh,/candidate/16639/cliff-unruh,lost,Republican,1998,congressional
John Evans,/candidate/133/john-evans,lost,Reform,1998,congressional
William Thomas,/candidate/26747/william-thomas,won,Republican,1998,congressional
Robert Bakhaus,/candidate/16750/robert-bakhaus,lost,Libertarian,1998,congressional
"Tom Bordonaro, Jr.",/candidate/8085/tom-bordonaro-jr,lost,Republican,1998,congressional
Lois Capps,/candidate/16886/lois-capps,won,Democratic,1998,congressional
Richard Porter,/candidate/136/richard-porter,lost,Reform,1998,congressional
Elton Gallegly,/candidate/26750/elton-gallegly,won,Republican,1998,congressional
Daniel Gonzalez,/candidate/16507/daniel-gonzalez,lost,Democratic,1998,congressional
Catherine Carter,/candidate/9740/catherine-carter,lost,,1998,congressional
Randy Hoffman,/candidate/16815/randy-hoffman,lost,Republican,1998,congressional
Erich Miller,/candidate/144/erich-miller,lost,Libertarian,1998,congressional
Brad Sherman,/candidate/142/brad-sherman,won,Democratic,1998,congressional
Ralph Shroyer,/candidate/146/ralph-shroyer,lost,,1998,congressional
Bruce Acker,/candidate/149/bruce-acker,lost,Libertarian,1998,congressional
Buck McKeon,/candidate/26755/buck-mckeon,won,Republican,1998,congressional
Maria Armoudian,/candidate/16673/maria-armoudian,lost,Green Party,1998,congressional
Howard Berman,/candidate/26756/howard-berman,won,Democratic,1998,congressional
David Cossak,/candidate/9759/david-cossak,lost,,1998,congressional
Juan Carlos Ros,/candidate/16530/juan-carlos-ros,lost,Libertarian,1998,congressional
Barry Gordon,/candidate/16712/barry-gordon,lost,Democratic,1998,congressional
Bob New,/candidate/9491/bob-new,lost,Libertarian,1998,congressional
James Rogan,/candidate/156/james-rogan,won,Republican,1998,congressional
M. Lawrence Allison,/candidate/16883/m-lawrence-allison,lost,Natural Law Party,1998,congressional
Jerry Douglas,/candidate/16819/jerry-douglas,lost,Libertarian,1998,congressional
David Dreier,/candidate/26765/david-dreier,won,Republican,1998,congressional
Janice Nelson,/candidate/16485/janice-nelson,lost,Democratic,1998,congressional
Walt Contreras Sheasby,/candidate/158/walt-contreras-sheasby,lost,Green,1998,congressional
Mike Binkley,/candidate/165/mike-binkley,lost,Libertarian,1998,congressional
Karen Blasdell-Wilkinson,/candidate/16640/karen-blasdell-wilkinson,lost,Natural Law Party,1998,congressional
Michael Gottlieb,/candidate/16701/michael-gottlieb,lost,Republican,1998,congressional
Henry Waxman,/candidate/26753/henry-waxman,won,Democratic,1998,congressional
Xavier Becerra,/candidate/26754/xavier-becerra,won,Democratic,1998,congressional
Patricia Jean Parker,/candidate/168/patricia-jean-parker,lost,Republican,1998,congressional
Michael Everling,/candidate/172/michael-everling,lost,Libertarian,1998,congressional
Gary Hearne,/candidate/811/gary-hearne,lost,,1998,congressional
Krista Lieberg-Wong,/candidate/16874/krista-lieberg-wong,lost,Green Party,1998,congressional
Matthew Martinez,/candidate/26760/matthew-martinez,won,Democratic,1998,congressional
Frank Moreno,/candidate/16664/frank-moreno,lost,Republican,1998,congressional
Larry Ardito,/candidate/173/larry-ardito,lost,Republican,1998,congressional
Julian Dixon,/candidate/26758/julian-dixon,won,Democratic,1998,congressional
Velko Milosevich,/candidate/16552/velko-milosevich,lost,Libertarian,1998,congressional
Wayne Miller,/candidate/16538/wayne-miller,lost,Republican,1998,congressional
Lucille Roybal-Allard,/candidate/26766/lucille-roybal-allard,won,Democratic,1998,congressional
Jason Heath,/candidate/16483/jason-heath,lost,Libertarian,1998,congressional
Grace Napolitano,/candidate/8393/grace-napolitano,won,Democratic,1998,congressional
Ed Perez,/candidate/16576/ed-perez,lost,Republican,1998,congressional
James Walter Scott,/candidate/16461/james-walter-scott,lost,,1998,congressional
Gordon Michael Mego,/candidate/505/gordon-michael-mego,lost,,1998,congressional
Maxine Waters,/candidate/26759/maxine-waters,won,Democratic,1998,congressional
Robin Barrett,/candidate/16785/robin-barrett,lost,Green Party,1998,congressional
Janice Hahn,/candidate/70502/janice-hahn,lost,Democratic,1998,congressional
John R Konopka,/candidate/16743/john-r-konopka,lost,Reform,1998,congressional
Steven Kuykendall,/candidate/8311/steven-kuykendall,won,Republican,1998,congressional
Kerry Welsh,/candidate/16615/kerry-welsh,lost,Libertarian,1998,congressional
Saul Lankster II,/candidate/16562/saul-lankster-ii,lost,Republican,1998,congressional
Juanita Millender-McDonald,/candidate/183/juanita-millender-mcdonald,won,Democratic,1998,congressional
David Bowers,/candidate/16508/david-bowers,lost,Libertarian,1998,congressional
Stephen Horn,/candidate/26762/stephen-horn,won,Republican,1998,congressional
Peter Mathews,/candidate/29305/peter-mathews,lost,Democratic,1998,congressional
Jack Dean,/candidate/188/jack-dean,lost,Libertarian,1998,congressional
A.R. Groom,/candidate/16554/ar-groom,lost,Democratic,1998,congressional
Ron Jevning,/candidate/16519/ron-jevning,lost,Natural Law Party,1998,congressional
Ed Royce,/candidate/26772/ed-royce,won,Republican,1998,congressional
Robert Conaway,/candidate/230/robert-conaway,lost,Democratic,1998,congressional
Jerry Lewis,/candidate/26769/jerry-lewis,won,Republican,1998,congressional
"Maurice Mayben, Jr.",/candidate/16684/maurice-mayben-jr,lost,Libertarian,1998,congressional
Cynthia Allaire,/candidate/16527/cynthia-allaire,lost,Green Party,1998,congressional
Eileen Ansari,/candidate/16628/eileen-ansari,lost,Democratic,1998,congressional
David Kramer,/candidate/191/david-kramer,lost,Natural Law Party,1998,congressional
Gary Miller,/candidate/8346/gary-miller,won,Republican,1998,congressional
Kenneth Valentine,/candidate/16722/kenneth-valentine,lost,Libertarian,1998,congressional
"George Brown, Jr.",/candidate/26767/george-brown-jr,won,Democratic,1998,congressional
David Lynn Hollist,/candidate/16761/david-lynn-hollist,lost,Libertarian,1998,congressional
John Hale McGee,/candidate/16704/john-hale-mcgee,lost,,1998,congressional
Elia Pirozzi,/candidate/16727/elia-pirozzi,lost,Republican,1998,congressional
Ken Calvert,/candidate/26777/ken-calvert,won,Republican,1998,congressional
Phillip John Courtney,/candidate/16500/phillip-john-courtney,lost,Green Party,1998,congressional
Michael Rayburn,/candidate/16821/michael-rayburn,lost,Democratic,1998,congressional
Annie Wallack,/candidate/196/annie-wallack,lost,,1998,congressional
Mary Bono Mack,/candidate/1434/mary-bono-mack,won,Republican,1998,congressional
Jim Meuer,/candidate/9507/jim-meuer,lost,Natural Law Party,1998,congressional
Ralph Waite,/candidate/1518/ralph-waite,lost,Democratic,1998,congressional
