name,url,status,party,year,election
William Benjamin Ballenger,/candidate/54038/william-benjamin-ballenger,lost,No Party Affiliation,2000,congressional
Jeff Gates,/candidate/54040/jeff-gates,lost,No Party Affiliation,2000,congressional
Paul Robert MacGregor,/candidate/54024/paul-robert-macgregor,lost,No Party Affiliation,2000,congressional
Mack Mattingly,/candidate/54022/mack-mattingly,lost,"No Party Affiliation, Republican",2000,congressional
Winnie Walsh,/candidate/54023/winnie-walsh,lost,No Party Affiliation,2000,congressional
Henrietta Mathis Canty,/candidate/7859/henrietta-mathis-canty,unknown,No Party Affiliation,2000,congressional
Zell Bryan Miller,/candidate/21726/zell-bryan-miller,won,"Democratic, No Party Affiliation",2000,congressional
"Moreton Rolleston, Jr.",/candidate/54030/moreton-rolleston-jr,unknown,No Party Affiliation,2000,congressional
Bobby Rudolph Wood,/candidate/54026/bobby-rudolph-wood,lost,No Party Affiliation,2000,congressional
Harry Dixon,/candidate/7878/harry-dixon,won,Democratic,2000,congressional
Jim Dore,/candidate/15854/jim-dore,lost,Alaska Independent,2000,congressional
Clifford Mark Greene,/candidate/27289/clifford-mark-greene,lost,Democratic,2000,congressional
Leonard Karpinski,/candidate/27230/leonard-karpinski,lost,Libertarian,2000,congressional
Anna Young,/candidate/27323/anna-young,lost,Green Party,2000,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2000,congressional
Herbert Callahan,/candidate/26710/herbert-callahan,won,Republican,2000,congressional
Dick Coffee,/candidate/53384/dick-coffee,lost,Libertarian,2000,congressional
Terry Everett,/candidate/26711/terry-everett,won,Republican,2000,congressional
Wallace McGahan,/candidate/53383/wallace-mcgahan,lost,Libertarian,2000,congressional
Charles Woods,/candidate/27456/charles-woods,lost,Democratic,2000,congressional
Bob Riley,/candidate/440/bob-riley,won,Republican,2000,congressional
John Sophocleus,/candidate/27538/john-sophocleus,lost,Libertarian,2000,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,2000,congressional
Marsha Guthrie Folsom,/candidate/27601/marsha-guthrie-folsom,lost,Democratic,2000,congressional
Craig Goodrich,/candidate/644/craig-goodrich,lost,Libertarian,2000,congressional
Alan Fulton Barksdale,/candidate/643/alan-fulton-barksdale,lost,Libertarian,2000,congressional
Robert Cramer,/candidate/26714/robert-cramer,won,Democratic,2000,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,2000,congressional
Terry Reagin,/candidate/27643/terry-reagin,lost,Libertarian,2000,congressional
"Earl Hilliard, Sr.",/candidate/26716/earl-hilliard-sr,won,Democratic,2000,congressional
Edgar Ray Martin,/candidate/27656/edgar-ray-martin,lost,Republican,2000,congressional
Marion Berry,/candidate/430/marion-berry,won,Democratic,2000,congressional
George Moody,/candidate/53387/george-moody,lost,Write-In,2000,congressional
Susan Myshka,/candidate/27973/susan-myshka,lost,Republican,2000,congressional
Vic Snyder,/candidate/434/vic-snyder,won,Democratic,2000,congressional
Robert Grant Thomas,/candidate/27938/robert-grant-thomas,lost,Republican,2000,congressional
Asa Hutchinson,/candidate/732/asa-hutchinson,won,Republican,2000,congressional
Jay Dickey,/candidate/26727/jay-dickey,lost,Republican,2000,congressional
Mike Ross,/candidate/24571/mike-ross,won,Democratic,2000,congressional
Vance Hansen,/candidate/53400/vance-hansen,lost,Green Party,2000,congressional
