name,url,status,party,year,election
Jo Ann Emerson,/candidate/903/jo-ann-emerson,won,Republican,1996,congressional
Emily Firebaugh,/candidate/420/emily-firebaugh,lost,Democratic,1996,congressional
Greg Tlapek,/candidate/422/greg-tlapek,lost,Libertarian,1996,congressional
Theresa Nangle Obermeyer,/candidate/526/theresa-nangle-obermeyer,lost,Democratic,1996,congressional
Ted Stevens,/candidate/53268/ted-stevens,won,Republican,1996,congressional
Jed Whittaker,/candidate/2/jed-whittaker,lost,Green Party,1996,congressional
John J.G. Grames,/candidate/15814/john-jg-grames,lost,Green Party,1996,congressional
Georgianna Lincoln,/candidate/8819/georgianna-lincoln,lost,Democratic,1996,congressional
William Nemec II,/candidate/15855/william-nemec-ii,lost,Alaska Independent,1996,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,1996,congressional
"Roger Bedford, Jr.",/candidate/5592/roger-bedford-jr,lost,Democratic,1996,congressional
Charles Hebner,/candidate/1028/charles-hebner,lost,,1996,congressional
Jeff Sessions III,/candidate/443/jeff-sessions-iii,won,Republican,1996,congressional
Mark Thornton,/candidate/639/mark-thornton,lost,Libertarian,1996,congressional
Bob Burns,/candidate/640/bob-burns,lost,Libertarian,1996,congressional
Herbert Callahan,/candidate/26710/herbert-callahan,won,Republican,1996,congressional
Don Womack,/candidate/22171/don-womack,lost,Democratic,1996,congressional
Terry Everett,/candidate/26711/terry-everett,won,Republican,1996,congressional
Bob Gaines,/candidate/447/bob-gaines,lost,Democratic,1996,congressional
Michael Probst,/candidate/641/michael-probst,lost,Libertarian,1996,congressional
Lucy Lawrence,/candidate/1024/lucy-lawrence,lost,,1996,congressional
T.D. Little,/candidate/5608/td-little,lost,Democratic,1996,congressional
Bob Riley,/candidate/440/bob-riley,won,Republican,1996,congressional
Ralph Stokes,/candidate/642/ralph-stokes,lost,Libertarian,1996,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,1996,congressional
Alan Fulton Barksdale,/candidate/643/alan-fulton-barksdale,lost,Libertarian,1996,congressional
"Robert Wilson, Jr.",/candidate/448/robert-wilson-jr,lost,Democratic,1996,congressional
Robert Cramer,/candidate/26714/robert-cramer,won,Democratic,1996,congressional
Craig Goodrich,/candidate/644/craig-goodrich,lost,Libertarian,1996,congressional
Shirley Madison,/candidate/18/shirley-madison,lost,Natural Law Party,1996,congressional
"Wayne Parker, Jr.",/candidate/442/wayne-parker-jr,lost,Republican,1996,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,1996,congressional
Mary Lynn Bates,/candidate/449/mary-lynn-bates,lost,Democratic,1996,congressional
T. Franklin Harris,/candidate/645/t-franklin-harris,lost,Libertarian,1996,congressional
Diane Susan Vogel,/candidate/1007/diane-susan-vogel,lost,,1996,congressional
Ken Hager,/candidate/646/ken-hager,lost,Libertarian,1996,congressional
"Earl Hilliard, Sr.",/candidate/26716/earl-hilliard-sr,won,Democratic,1996,congressional
Joey Powell,/candidate/446/joey-powell,lost,Republican,1996,congressional
Winston Bryant,/candidate/435/winston-bryant,lost,Democratic,1996,congressional
Y. Tim Hutchinson,/candidate/26726/y-tim-hutchinson,won,Republican,1996,congressional
Marion Berry,/candidate/430/marion-berry,won,Democratic,1996,congressional
Keith Carle,/candidate/16217/keith-carle,lost,Reform,1996,congressional
Warren Dupwe,/candidate/433/warren-dupwe,lost,Republican,1996,congressional
Bud Cummins,/candidate/431/bud-cummins,lost,Republican,1996,congressional
Vic Snyder,/candidate/434/vic-snyder,won,Democratic,1996,congressional
Boyce Ray Davis,/candidate/432/boyce-ray-davis,unknown,Democratic,1996,congressional
Ann Henry,/candidate/950/ann-henry,lost,Democratic,1996,congressional
Tony Joe Huffman,/candidate/1009/tony-joe-huffman,lost,Reform,1996,congressional
Asa Hutchinson,/candidate/732/asa-hutchinson,won,Republican,1996,congressional
Dan Ivy,/candidate/29/dan-ivy,lost,Write-In,1996,congressional
Jay Dickey,/candidate/26727/jay-dickey,won,Republican,1996,congressional
Vincent Tolliver,/candidate/1010/vincent-tolliver,lost,Democratic,1996,congressional
Eni Faleomavaega,/candidate/774/eni-faleomavaega,won,Democratic,1996,congressional
Gus Hannemann,/candidate/42/gus-hannemann,won,Independent,1996,congressional
John Cox,/candidate/16383/john-cox,lost,Democratic,1996,congressional
Matt Salmon,/candidate/22184/matt-salmon,won,Republican,1996,congressional
Alice Bangle,/candidate/50/alice-bangle,lost,Libertarian,1996,congressional
Jim Buster,/candidate/621/jim-buster,lost,Republican,1996,congressional
Ed Pastor,/candidate/26719/ed-pastor,won,Democratic,1996,congressional
Alexander Schneider,/candidate/622/alexander-schneider,lost,Democratic,1996,congressional
Bob Stump,/candidate/26720/bob-stump,won,Republican,1996,congressional
Maria Elena Milton,/candidate/623/maria-elena-milton,lost,Democratic,1996,congressional
John Shadegg,/candidate/22186/john-shadegg,won,Republican,1996,congressional
Ed Finkelstein,/candidate/60/ed-finkelstein,lost,Reform,1996,congressional
James Kolbe,/candidate/26722/james-kolbe,won,Republican,1996,congressional
Mort Nelson,/candidate/70/mort-nelson,lost,Democratic,1996,congressional
John Zajac,/candidate/624/john-zajac,lost,Libertarian,1996,congressional
Robert Anderson,/candidate/625/robert-anderson,lost,Libertarian,1996,congressional
"J.D. Hayworth, Jr.",/candidate/22187/jd-hayworth-jr,won,Republican,1996,congressional
Stephen Owens,/candidate/626/stephen-owens,lost,Democratic,1996,congressional
Michela Alioto,/candidate/73/michela-alioto,lost,Democratic,1996,congressional
Frank Riggs,/candidate/21903/frank-riggs,won,Republican,1996,congressional
Emil Rossi,/candidate/74/emil-rossi,lost,Libertarian,1996,congressional
Roberts Braden,/candidate/75/roberts-braden,lost,Democratic,1996,congressional
William Brunner,/candidate/76/william-brunner,lost,Libertarian,1996,congressional
"Wally Herger, Jr.",/candidate/26728/wally-herger-jr,won,Republican,1996,congressional
Patrice Thiessen,/candidate/77/patrice-thiessen,lost,,1996,congressional
Bob Todd,/candidate/16729/bob-todd,lost,Write-In,1996,congressional
Erin Donelle,/candidate/78/erin-donelle,lost,Libertarian,1996,congressional
Timothy Erich,/candidate/79/timothy-erich,lost,Reform,1996,congressional
Victor Fazio,/candidate/26731/victor-fazio,won,Democratic,1996,congressional
Timothy John LeFever,/candidate/86/timothy-john-lefever,lost,Republican,1996,congressional
John Doolittle,/candidate/26743/john-doolittle,won,Republican,1996,congressional
Katie Hirning,/candidate/80/katie-hirning,lost,Democratic,1996,congressional
Patrick Lee McHargue,/candidate/81/patrick-lee-mchargue,lost,Libertarian,1996,congressional
Robert Dinsmore,/candidate/82/robert-dinsmore,lost,Republican,1996,congressional
Charles Kersey,/candidate/85/charles-kersey,lost,Natural Law Party,1996,congressional
Robert Matsui,/candidate/26730/robert-matsui,won,Democratic,1996,congressional
Joseph Basil Miller,/candidate/84/joseph-basil-miller,lost,Libertarian,1996,congressional
Gordon Mors,/candidate/83/gordon-mors,lost,,1996,congressional
Duane Hughes,/candidate/87/duane-hughes,lost,Republican,1996,congressional
"Ernest Kent Jones, Jr.",/candidate/88/ernest-kent-jones-jr,lost,Peace and Freedom,1996,congressional
Bruce Kendall,/candidate/1448/bruce-kendall,lost,Natural Law Party,1996,congressional
