name,url,status,party,year,election
Gabe Amo,/candidate/212295/gabe-amo,won,Democratic,2023,congressional
Gerry Leonard,/candidate/212306/gerry-leonard,lost,Republican,2023,congressional
Joseph Buchman,/candidate/103472/joseph-buchman,lost,Independent,2023,congressional
Cassie Easley,/candidate/204541/cassie-easley,lost,Constitution Party,2023,congressional
Brad Green,/candidate/212290/brad-green,lost,Libertarian,2023,congressional
Celeste Maloy,/candidate/212289/celeste-maloy,won,Republican,2023,congressional
Perry Myers,/candidate/212287/perry-myers,lost,Independent,2023,congressional
Kathleen Riebe,/candidate/169252/kathleen-riebe,lost,Democratic,2023,congressional
January Walker,/candidate/204547/january-walker,lost,United Utah Party,2023,congressional
"Leon Benjamin, Sr.",/candidate/190743/leon-benjamin-sr,lost,Republican,2023,congressional
Jennifer McClellan,/candidate/58655/jennifer-mcclellan,won,Democratic,2023,congressional
