name,url,status,party,year,election
Alyse Galvin,/candidate/182516/alyse-galvin,lost,"Democratic, Undeclared",2018,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2018,congressional
Rick Crawford,/candidate/119208/rick-crawford,won,Republican,2018,congressional
Chintan Desai,/candidate/178471/chintan-desai,lost,Democratic,2018,congressional
Elvis Presley,/candidate/152189/elvis-presley,lost,Libertarian,2018,congressional
French Hill,/candidate/146290/french-hill,won,Republican,2018,congressional
Joe Swafford,/candidate/184806/joe-swafford,lost,Libertarian,2018,congressional
Clarke Tucker,/candidate/150292/clarke-tucker,lost,Democratic,2018,congressional
Michael Kalagias,/candidate/150257/michael-kalagias,lost,Libertarian,2018,congressional
Josh Mahony,/candidate/178475/josh-mahony,lost,Democratic,2018,congressional
Steve Womack,/candidate/71815/steve-womack,won,Republican,2018,congressional
Tom Canada,/candidate/184807/tom-canada,lost,Libertarian,2018,congressional
Hayden Shamel,/candidate/178477/hayden-shamel,lost,Democratic,2018,congressional
Bruce Westerman,/candidate/119120/bruce-westerman,won,Republican,2018,congressional
Martha McSally,/candidate/137299/martha-mcsally,lost,Republican,2018,congressional
Kyrsten Sinema,/candidate/28338/kyrsten-sinema,won,Democratic,2018,congressional
Tom O'Halleran,/candidate/28499/tom-ohalleran,won,Democratic,2018,congressional
Wendy Rogers,/candidate/123618/wendy-rogers,lost,Republican,2018,congressional
Ann Kirkpatrick,/candidate/28425/ann-kirkpatrick,won,Democratic,2018,congressional
Lea Marquez Peterson,/candidate/182229/lea-marquez-peterson,lost,Republican,2018,congressional
Raul Grijalva,/candidate/28253/raul-grijalva,won,Democratic,2018,congressional
Nicolas Pierson,/candidate/182238/nicolas-pierson,lost,Republican,2018,congressional
David Brill,/candidate/182239/david-brill,lost,Democratic,2018,congressional
Paul Gosar,/candidate/123491/paul-gosar,won,Republican,2018,congressional
Haryaksha Knauer,/candidate/123751/haryaksha-knauer,lost,Green Party,2018,congressional
Andy Biggs,/candidate/28088/andy-biggs,won,Republican,2018,congressional
Joan Greene,/candidate/182241/joan-greene,lost,Democratic,2018,congressional
Anita Malik,/candidate/182243/anita-malik,lost,Democratic,2018,congressional
David Schweikert,/candidate/106387/david-schweikert,won,Republican,2018,congressional
Ruben Gallego,/candidate/123732/ruben-gallego,won,Democratic,2018,congressional
Debbie Lesko,/candidate/106483/debbie-lesko,won,Republican,2018,congressional
Hiral Tipirneni,/candidate/177626/hiral-tipirneni,lost,Democratic,2018,congressional
Debbie Lesko,/candidate/106483/debbie-lesko,won,Republican,2018,congressional
Hiral Tipirneni,/candidate/177626/hiral-tipirneni,lost,Democratic,2018,congressional
Stephen Ferrara,/candidate/182248/stephen-ferrara,lost,Republican,2018,congressional
Greg Stanton,/candidate/72030/greg-stanton,won,Democratic,2018,congressional
Kevin De Leon,/candidate/59926/kevin-de-leon,lost,Democratic,2018,congressional
Dianne Feinstein,/candidate/53273/dianne-feinstein,won,Democratic,2018,congressional
Audrey Denney,/candidate/179307/audrey-denney,lost,Democratic,2018,congressional
Doug LaMalfa,/candidate/29713/doug-lamalfa,won,Republican,2018,congressional
Jared Huffman,/candidate/59849/jared-huffman,won,Democratic,2018,congressional
Dale Mensing,/candidate/145981/dale-mensing,lost,Republican,2018,congressional
John Garamendi,/candidate/29664/john-garamendi,won,Democratic,2018,congressional
Charlie Schaupp,/candidate/16771/charlie-schaupp,lost,Republican,2018,congressional
Tom McClintock,/candidate/9715/tom-mcclintock,won,Republican,2018,congressional
Jessica Morse,/candidate/179315/jessica-morse,lost,Democratic,2018,congressional
Anthony Mills,/candidate/179318/anthony-mills,lost,No Party Preference,2018,congressional
Mike Thompson,/candidate/3564/mike-thompson,won,Democratic,2018,congressional
Jrmar Jefferson,/candidate/169163/jrmar-jefferson,lost,Democratic,2018,congressional
Doris Matsui,/candidate/28593/doris-matsui,won,Democratic,2018,congressional
Ami Bera,/candidate/120030/ami-bera,won,Democratic,2018,congressional
Andrew Grant,/candidate/179320/andrew-grant,lost,Republican,2018,congressional
Paul Cook,/candidate/58121/paul-cook,won,Republican,2018,congressional
Tim Donnelly,/candidate/120254/tim-donnelly,lost,Republican,2018,congressional
Jerry McNerney,/candidate/29474/jerry-mcnerney,won,Democratic,2018,congressional
Marla Sousa Livengood,/candidate/179324/marla-sousa-livengood,lost,Republican,2018,congressional
Jeff Denham,/candidate/28769/jeff-denham,lost,Republican,2018,congressional
Josh Harder,/candidate/179326/josh-harder,won,Democratic,2018,congressional
Mark DeSaulnier,/candidate/69477/mark-desaulnier,won,Democratic,2018,congressional
John Fitzgerald,/candidate/120037/john-fitzgerald,lost,Republican,2018,congressional
Nancy Pelosi,/candidate/26732/nancy-pelosi,won,Democratic,2018,congressional
Lisa Remmer,/candidate/179334/lisa-remmer,lost,Republican,2018,congressional
Barbara Lee,/candidate/8315/barbara-lee,won,Democratic,2018,congressional
Laura Wells,/candidate/119988/laura-wells,lost,Green Party,2018,congressional
Cristina Osmena,/candidate/179336/cristina-osmena,lost,Republican,2018,congressional
Jackie Speier,/candidate/8425/jackie-speier,won,Democratic,2018,congressional
"Rudy Peters, Jr.",/candidate/179337/rudy-peters-jr,lost,Republican,2018,congressional
Eric Swalwell,/candidate/129529/eric-swalwell,won,Democratic,2018,congressional
Jim Costa,/candidate/3577/jim-costa,won,Democratic,2018,congressional
Elizabeth Heng,/candidate/179339/elizabeth-heng,lost,Republican,2018,congressional
Ron Cohen,/candidate/169072/ron-cohen,lost,Republican,2018,congressional
