name,url,status,party,year,election
Mary Jordan,/candidate/1046/mary-jordan,lost,Green Party,1992,congressional
Frank Murkowski,/candidate/53267/frank-murkowski,won,Republican,1992,congressional
Tony Smith,/candidate/1047/tony-smith,lost,Democratic,1992,congressional
John Devens,/candidate/3/john-devens,lost,Democratic,1992,congressional
Mike Milligan,/candidate/1/mike-milligan,lost,Green Party,1992,congressional
Michael States,/candidate/1044/michael-states,lost,,1992,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,1992,congressional
Richard Sellers,/candidate/1035/richard-sellers,lost,Republican,1992,congressional
Richard Shelby,/candidate/53266/richard-shelby,won,Republican,1992,congressional
Jerome Shockley,/candidate/1401/jerome-shockley,lost,Libertarian,1992,congressional
William Brewer,/candidate/1036/william-brewer,lost,Democratic,1992,congressional
Herbert Callahan,/candidate/26710/herbert-callahan,won,Republican,1992,congressional
John Garrett,/candidate/5/john-garrett,lost,Libertarian,1992,congressional
Richard Boone,/candidate/9/richard-boone,lost,Independent,1992,congressional
Malcolm Brassell,/candidate/4/malcolm-brassell,lost,Independent,1992,congressional
Terry Everett,/candidate/26711/terry-everett,won,Republican,1992,congressional
Glynn Reeves,/candidate/1037/glynn-reeves,lost,Libertarian,1992,congressional
"George Wallace, Jr.",/candidate/21/george-wallace-jr,lost,Democratic,1992,congressional
Glen Browder,/candidate/26712/glen-browder,won,Democratic,1992,congressional
Don Sledge,/candidate/1038/don-sledge,lost,Republican,1992,congressional
Rodric Templeton,/candidate/1039/rodric-templeton,lost,Libertarian,1992,congressional
Tom Bevill,/candidate/26713/tom-bevill,won,Democratic,1992,congressional
Robert King,/candidate/19/robert-king,lost,Libertarian,1992,congressional
Martha Strickland,/candidate/1041/martha-strickland,lost,Republican,1992,congressional
Robert Cramer,/candidate/26714/robert-cramer,won,Democratic,1992,congressional
Michael Seibert,/candidate/1043/michael-seibert,lost,Libertarian,1992,congressional
Terry Smith,/candidate/1042/terry-smith,lost,Republican,1992,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,1992,congressional
Mark Bodenhausen,/candidate/8/mark-bodenhausen,lost,Libertarian,1992,congressional
Carla Cloum,/candidate/1034/carla-cloum,lost,Independent,1992,congressional
Ben Erdreich,/candidate/11/ben-erdreich,lost,Democratic,1992,congressional
James Chambliss,/candidate/20/james-chambliss,lost,Independent,1992,congressional
"Earl Hilliard, Sr.",/candidate/26716/earl-hilliard-sr,won,Democratic,1992,congressional
Kervin Jones,/candidate/1033/kervin-jones,lost,Republican,1992,congressional
James Lewis,/candidate/14/james-lewis,lost,Independent,1992,congressional
Michael Todd Mayer,/candidate/13/michael-todd-mayer,lost,Libertarian,1992,congressional
Dale Bumpers,/candidate/53271/dale-bumpers,won,Democratic,1992,congressional
Mike Huckabee,/candidate/1657/mike-huckabee,lost,Republican,1992,congressional
Terry Hayes,/candidate/38/terry-hayes,lost,Republican,1992,congressional
Blanche Lincoln,/candidate/26723/blanche-lincoln,won,Democratic,1992,congressional
Dennis Scott,/candidate/22/dennis-scott,lost,Republican,1992,congressional
Ray Thornton,/candidate/26725/ray-thornton,won,Democratic,1992,congressional
Justice Ralph Forbes,/candidate/16183/justice-ralph-forbes,lost,Independent,1992,congressional
Y. Tim Hutchinson,/candidate/26726/y-tim-hutchinson,won,Republican,1992,congressional
Rex Petty,/candidate/24/rex-petty,lost,Write-In,1992,congressional
John Vanwinkle,/candidate/1062/john-vanwinkle,lost,Democratic,1992,congressional
Jay Dickey,/candidate/26727/jay-dickey,won,Republican,1992,congressional
William McCuen,/candidate/1061/william-mccuen,lost,Democratic,1992,congressional
Tautai Avaita Fano Fa'alevao,/candidate/43/tautai-avaita-fano-faalevao,lost,Republican,1992,congressional
Eni Faleomavaega,/candidate/774/eni-faleomavaega,won,Democratic,1992,congressional
Sili Kerisiano Sataua,/candidate/15585/sili-kerisiano-sataua,lost,Independent,1992,congressional
Tuika Tuika,/candidate/45/tuika-tuika,lost,Independent,1992,congressional
Kiana Delamare,/candidate/1048/kiana-delamare,lost,Libertarian,1992,congressional
Ed Finkelstein,/candidate/60/ed-finkelstein,lost,,1992,congressional
John McCain III,/candidate/53270/john-mccain-iii,won,Republican,1992,congressional
Evan Mechan,/candidate/52/evan-mechan,lost,Independent,1992,congressional
Claire Sargent,/candidate/1054/claire-sargent,lost,Democratic,1992,congressional
Robert Winn,/candidate/15561/robert-winn,lost,Write-In,1992,congressional
Sam Coppersmith,/candidate/26718/sam-coppersmith,won,Democratic,1992,congressional
Ted Goldstein,/candidate/15083/ted-goldstein,lost,,1992,congressional
John Rhodes III,/candidate/1049/john-rhodes-iii,lost,Republican,1992,congressional
Robert Brown,/candidate/53/robert-brown,lost,Write-In,1992,congressional
Dan Detaranto,/candidate/1051/dan-detaranto,lost,Libertarian,1992,congressional
Ed Pastor,/candidate/26719/ed-pastor,won,Democratic,1992,congressional
Don Shooter,/candidate/1052/don-shooter,lost,Republican,1992,congressional
Roger Hartstone,/candidate/69/roger-hartstone,lost,Democratic,1992,congressional
Bob Stump,/candidate/26720/bob-stump,won,Republican,1992,congressional
Pamela Volponi,/candidate/55/pamela-volponi,lost,Natural Law Party,1992,congressional
Debbie Collings,/candidate/1059/debbie-collings,lost,Independent,1992,congressional
Jon Kyl,/candidate/26721/jon-kyl,won,Republican,1992,congressional
Tim McDermott,/candidate/1058/tim-mcdermott,lost,Libertarian,1992,congressional
Walter Mybeck II,/candidate/65/walter-mybeck-ii,lost,Democratic,1992,congressional
James Kolbe,/candidate/26722/james-kolbe,won,Republican,1992,congressional
Jim Toevs,/candidate/1057/jim-toevs,lost,Democratic,1992,congressional
Perry Willis,/candidate/1056/perry-willis,lost,Libertarian,1992,congressional
Karan English,/candidate/26724/karan-english,won,Democratic,1992,congressional
Sarah Stannard,/candidate/61/sarah-stannard,lost,Independent,1992,congressional
Roy Douglas Wead,/candidate/1053/roy-douglas-wead,lost,Republican,1992,congressional
Robert Bell,/candidate/1471/robert-bell,lost,Write-In,1992,congressional
Richard Benjamin Boddie,/candidate/22073/richard-benjamin-boddie,lost,Libertarian,1992,congressional
Barbara Boxer,/candidate/53274/barbara-boxer,won,Democratic,1992,congressional
