name,url,status,party,year,election
Mark Hunt,/candidate/7597/mark-hunt,lost,Democratic,2016,congressional
Alex Mooney,/candidate/145943/alex-mooney,won,Republican,2016,congressional
Breck Craig,/candidate/174935/breck-craig,lost,No Party Affiliation,2016,congressional
Ted Gianoutsos,/candidate/27156/ted-gianoutsos,lost,No Party Affiliation,2016,congressional
Ray Metcalfe,/candidate/15853/ray-metcalfe,lost,Democratic,2016,congressional
Joe Miller,/candidate/175651/joe-miller,lost,Libertarian,2016,congressional
Lisa Murkowski,/candidate/15841/lisa-murkowski,won,Republican,2016,congressional
Cean Stevens,/candidate/140438/cean-stevens,unknown,Libertarian,2016,congressional
Margaret Stock,/candidate/174936/margaret-stock,lost,No Party Affiliation,2016,congressional
Bruce Walden,/candidate/174937/bruce-walden,unknown,Veterans,2016,congressional
Steve Lindbeck,/candidate/171438/steve-lindbeck,lost,Democratic,2016,congressional
Jim McDermott,/candidate/140387/jim-mcdermott,lost,Libertarian,2016,congressional
Bernie Souphanavong,/candidate/174939/bernie-souphanavong,lost,No Party Affiliation,2016,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2016,congressional
Ron Crumpton,/candidate/149922/ron-crumpton,lost,Democratic,2016,congressional
Richard Shelby,/candidate/53266/richard-shelby,won,Republican,2016,congressional
Bradley Byrne,/candidate/27584/bradley-byrne,won,Republican,2016,congressional
Nathan Mathis,/candidate/15972/nathan-mathis,lost,Democratic,2016,congressional
Martha Roby,/candidate/71604/martha-roby,won,Republican,2016,congressional
Mike Rogers,/candidate/5705/mike-rogers,won,Republican,2016,congressional
Jesse Smith,/candidate/146267/jesse-smith,lost,Democratic,2016,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,2016,congressional
"William Boyd, Jr.",/candidate/167060/william-boyd-jr,lost,Democratic,2016,congressional
Mo Brooks,/candidate/121610/mo-brooks,won,Republican,2016,congressional
Gary Palmer,/candidate/146274/gary-palmer,won,Republican,2016,congressional
David Putman,/candidate/167061/david-putman,lost,Democratic,2016,congressional
Terri Sewell,/candidate/121621/terri-sewell,won,Democratic,2016,congressional
John Boozman,/candidate/27958/john-boozman,won,Republican,2016,congressional
"Conner Eldridge, Jr.",/candidate/135642/conner-eldridge-jr,lost,Democratic,2016,congressional
Frank Gilbert,/candidate/141031/frank-gilbert,lost,Libertarian,2016,congressional
Jason Tate,/candidate/166193/jason-tate,lost,Write-In,2016,congressional
Rick Crawford,/candidate/119208/rick-crawford,won,Republican,2016,congressional
Mark West,/candidate/166188/mark-west,lost,Libertarian,2016,congressional
Dianne Curry,/candidate/146265/dianne-curry,lost,Democratic,2016,congressional
Chris Hayes,/candidate/141078/chris-hayes,lost,Libertarian,2016,congressional
French Hill,/candidate/146290/french-hill,won,Republican,2016,congressional
Charles Neely,/candidate/166191/charles-neely,lost,Write-In,2016,congressional
Mathew Wescott,/candidate/166189/mathew-wescott,lost,Write-In,2016,congressional
Steve Isaacson,/candidate/167204/steve-isaacson,lost,Libertarian,2016,congressional
Steve Womack,/candidate/71815/steve-womack,won,Republican,2016,congressional
Kerry Hicks,/candidate/166192/kerry-hicks,lost,Libertarian,2016,congressional
Bruce Westerman,/candidate/119120/bruce-westerman,won,Republican,2016,congressional
Ann Kirkpatrick,/candidate/28425/ann-kirkpatrick,lost,Democratic,2016,congressional
John McCain III,/candidate/53270/john-mccain-iii,won,Republican,2016,congressional
Gary Swing,/candidate/14995/gary-swing,lost,Boiling Frog,2016,congressional
Paul Babeu,/candidate/166017/paul-babeu,lost,Republican,2016,congressional
Tom O'Halleran,/candidate/28499/tom-ohalleran,won,Democratic,2016,congressional
Ray Parrish,/candidate/175622/ray-parrish,lost,Green Party,2016,congressional
Matthew Heinz,/candidate/68106/matthew-heinz,lost,Democratic,2016,congressional
Martha McSally,/candidate/137299/martha-mcsally,won,Republican,2016,congressional
Raul Grijalva,/candidate/28253/raul-grijalva,won,Democratic,2016,congressional
Paul Gosar,/candidate/123491/paul-gosar,won,Republican,2016,congressional
Mikel Weisser,/candidate/141238/mikel-weisser,lost,Democratic,2016,congressional
Andy Biggs,/candidate/28088/andy-biggs,won,Republican,2016,congressional
Talia Fuentes-Wolfe,/candidate/171613/talia-fuentes-wolfe,lost,Democratic,2016,congressional
David Schweikert,/candidate/106387/david-schweikert,won,Republican,2016,congressional
W. Williamson,/candidate/123681/w-williamson,lost,Democratic,2016,congressional
Ruben Gallego,/candidate/123732/ruben-gallego,won,Democratic,2016,congressional
Eve Nuñez,/candidate/106501/eve-nunez,lost,Republican,2016,congressional
Trent Franks,/candidate/28399/trent-franks,won,Republican,2016,congressional
Mark Salazar,/candidate/143437/mark-salazar,lost,Green Party,2016,congressional
Dave Giles,/candidate/166291/dave-giles,lost,Republican,2016,congressional
Kyrsten Sinema,/candidate/28338/kyrsten-sinema,won,Democratic,2016,congressional
Kamala Harris,/candidate/120012/kamala-harris,won,Democratic,2016,congressional
Loretta Sanchez,/candidate/203/loretta-sanchez,lost,Democratic,2016,congressional
Doug LaMalfa,/candidate/29713/doug-lamalfa,won,Republican,2016,congressional
Jim Reed,/candidate/120029/jim-reed,lost,Democratic,2016,congressional
Jared Huffman,/candidate/59849/jared-huffman,won,Democratic,2016,congressional
Dale Mensing,/candidate/145981/dale-mensing,lost,Republican,2016,congressional
Norris Cleek,/candidate/166296/norris-cleek,lost,Republican,2016,congressional
John Garamendi,/candidate/29664/john-garamendi,won,Democratic,2016,congressional
Robert Derlet,/candidate/169142/robert-derlet,lost,Democratic,2016,congressional
Tom McClintock,/candidate/9715/tom-mcclintock,won,Republican,2016,congressional
Carlos Santamaria,/candidate/169161/carlos-santamaria,lost,Republican,2016,congressional
Mike Thompson,/candidate/3564/mike-thompson,won,Democratic,2016,congressional
Robert Evans,/candidate/169165/robert-evans,lost,Republican,2016,congressional
Doris Matsui,/candidate/28593/doris-matsui,won,Democratic,2016,congressional
Ami Bera,/candidate/120030/ami-bera,won,Democratic,2016,congressional
Scott Jones,/candidate/169039/scott-jones,lost,Republican,2016,congressional
Paul Cook,/candidate/58121/paul-cook,won,Republican,2016,congressional
Rita Ramirez-Dean,/candidate/29450/rita-ramirez-dean,lost,Democratic,2016,congressional
Tony Amador,/candidate/120045/tony-amador,lost,Republican,2016,congressional
Jerry McNerney,/candidate/29474/jerry-mcnerney,won,Democratic,2016,congressional
Jeff Denham,/candidate/28769/jeff-denham,won,Republican,2016,congressional
Michael Eggman,/candidate/145994/michael-eggman,lost,Democratic,2016,congressional
Mark DeSaulnier,/candidate/69477/mark-desaulnier,won,Democratic,2016,congressional
Roger Petersen,/candidate/104247/roger-petersen,lost,Republican,2016,congressional
Nancy Pelosi,/candidate/26732/nancy-pelosi,won,Democratic,2016,congressional
Preston Picus,/candidate/169065/preston-picus,lost,No Party Preference,2016,congressional
Sue Caro,/candidate/169066/sue-caro,lost,Republican,2016,congressional
Barbara Lee,/candidate/8315/barbara-lee,won,Democratic,2016,congressional
Angel Cardenas,/candidate/175202/angel-cardenas,lost,Republican,2016,congressional
Jackie Speier,/candidate/8425/jackie-speier,won,Democratic,2016,congressional
Eric Swalwell,/candidate/129529/eric-swalwell,won,Democratic,2016,congressional
Danny Turner,/candidate/169068/danny-turner,lost,Republican,2016,congressional
Jim Costa,/candidate/3577/jim-costa,won,Democratic,2016,congressional
Johnny Tacherra,/candidate/136221/johnny-tacherra,lost,Republican,2016,congressional
Mike Honda,/candidate/9674/mike-honda,lost,Democratic,2016,congressional
Ro Khanna,/candidate/29473/ro-khanna,won,Democratic,2016,congressional
Anna Eshoo,/candidate/26741/anna-eshoo,won,Democratic,2016,congressional
Richard Fox,/candidate/151738/richard-fox,lost,Republican,2016,congressional
G. Lancaster,/candidate/151795/g-lancaster,lost,Republican,2016,congressional
Zoe Lofgren,/candidate/21899/zoe-lofgren,won,Democratic,2016,congressional
Casey Lucius,/candidate/166274/casey-lucius,lost,Republican,2016,congressional
Jimmy Panetta,/candidate/169078/jimmy-panetta,won,Democratic,2016,congressional
Emilio Huerta,/candidate/169038/emilio-huerta,lost,Democratic,2016,congressional
David Valadao,/candidate/120200/david-valadao,won,Republican,2016,congressional
Louie Campos,/candidate/169047/louie-campos,lost,Democratic,2016,congressional
Devin Nunes,/candidate/16725/devin-nunes,won,Republican,2016,congressional
Kevin McCarthy,/candidate/28918/kevin-mccarthy,won,Republican,2016,congressional
Wendy Reed,/candidate/169051/wendy-reed,lost,Democratic,2016,congressional
Salud Carbajal,/candidate/81569/salud-carbajal,won,Democratic,2016,congressional
Justin Fareed,/candidate/151733/justin-fareed,lost,Republican,2016,congressional
Bryan Caforio,/candidate/169084/bryan-caforio,lost,Democratic,2016,congressional
Steve Knight,/candidate/71098/steve-knight,won,Republican,2016,congressional
Julia Brownley,/candidate/59904/julia-brownley,won,Democratic,2016,congressional
Rafael Dagnesses,/candidate/146026/rafael-dagnesses,lost,Republican,2016,congressional
Judy Chu,/candidate/16539/judy-chu,won,Democratic,2016,congressional
Jack Orswell,/candidate/137159/jack-orswell,lost,Republican,2016,congressional
Adam Schiff,/candidate/9489/adam-schiff,won,Democratic,2016,congressional
Lenore Solis,/candidate/169134/lenore-solis,lost,Republican,2016,congressional
Richard Alarcón,/candidate/16505/richard-alarcon,lost,Democratic,2016,congressional
Tony Cárdenas,/candidate/9754/tony-cardenas,won,Democratic,2016,congressional
Mark Reed,/candidate/120298/mark-reed,lost,Republican,2016,congressional
Brad Sherman,/candidate/142/brad-sherman,won,Democratic,2016,congressional
Pete Aguilar,/candidate/70114/pete-aguilar,won,Democratic,2016,congressional
Paul Chabot,/candidate/120264/paul-chabot,lost,Republican,2016,congressional
Roger Hernandez,/candidate/71156/roger-hernandez,lost,Democratic,2016,congressional
Grace Napolitano,/candidate/8393/grace-napolitano,won,Democratic,2016,congressional
Ted Lieu,/candidate/1516/ted-lieu,won,Democratic,2016,congressional
Kenneth Wright,/candidate/169040/kenneth-wright,lost,Republican,2016,congressional
Xavier Becerra,/candidate/26754/xavier-becerra,won,Democratic,2016,congressional
Adrienne Edwards,/candidate/151730/adrienne-edwards,lost,Democratic,2016,congressional
Tyler Fischella,/candidate/169045/tyler-fischella,lost,Republican,2016,congressional
Norma Torres,/candidate/71284/norma-torres,won,Democratic,2016,congressional
Raul Ruiz,/candidate/136407/raul-ruiz,won,Democratic,2016,congressional
Jeff Stone,/candidate/82828/jeff-stone,lost,Republican,2016,congressional
Karen Bass,/candidate/28963/karen-bass,won,Democratic,2016,congressional
Christopher Wiggins,/candidate/169052/christopher-wiggins,lost,Democratic,2016,congressional
Ryan Downing,/candidate/151727/ryan-downing,lost,Republican,2016,congressional
Linda Sánchez,/candidate/29674/linda-sanchez,won,Democratic,2016,congressional
Brett Murdock,/candidate/129498/brett-murdock,lost,Democratic,2016,congressional
Ed Royce,/candidate/26772/ed-royce,won,Republican,2016,congressional
Roman Gonzalez,/candidate/169063/roman-gonzalez,lost,No Party Affiliation,2016,congressional
Lucille Roybal-Allard,/candidate/26766/lucille-roybal-allard,won,Democratic,2016,congressional
Doug Shepherd,/candidate/169073/doug-shepherd,lost,Republican,2016,congressional
Mark Takano,/candidate/22337/mark-takano,won,Democratic,2016,congressional
Ken Calvert,/candidate/26777/ken-calvert,won,Republican,2016,congressional
Tim Sheridan,/candidate/146109/tim-sheridan,lost,Democratic,2016,congressional
Omar Navarro,/candidate/169079/omar-navarro,lost,Republican,2016,congressional
Maxine Waters,/candidate/26759/maxine-waters,won,Democratic,2016,congressional
Nanette Barragán,/candidate/166270/nanette-barragan,won,Democratic,2016,congressional
Isadore Hall III,/candidate/70660/isadore-hall-iii,lost,Democratic,2016,congressional
Ron Varasteh,/candidate/138296/ron-varasteh,lost,Democratic,2016,congressional
Mimi Walters,/candidate/29346/mimi-walters,won,Republican,2016,congressional
Lou Correa,/candidate/9732/lou-correa,won,Democratic,2016,congressional
Bao Nguyen,/candidate/71066/bao-nguyen,lost,Democratic,2016,congressional
Alan Lowenthal,/candidate/16469/alan-lowenthal,won,Democratic,2016,congressional
Andy Whallon,/candidate/146251/andy-whallon,lost,Republican,2016,congressional
Dana Rohrabacher,/candidate/26763/dana-rohrabacher,won,Republican,2016,congressional
Sue Savary,/candidate/151855/sue-savary,lost,Democratic,2016,congressional
Doug Applegate,/candidate/169091/doug-applegate,lost,Democratic,2016,congressional
Darrell Issa,/candidate/16553/darrell-issa,won,Republican,2016,congressional
Duncan Hunter,/candidate/104308/duncan-hunter,won,Republican,2016,congressional
Patrick Malloy,/candidate/169094/patrick-malloy,lost,Democratic,2016,congressional
