name,url,status,party,year,election
Brian Bilbray,/candidate/21916/brian-bilbray,won,Republican,2006,congressional
Donald Pando,/candidate/56576/donald-pando,lost,Republican,2006,congressional
Diane Benson,/candidate/27198/diane-benson,lost,Democratic,2006,congressional
Alexander Crawford,/candidate/68255/alexander-crawford,lost,Libertarian,2006,congressional
Eva Ince,/candidate/68258/eva-ince,lost,Green,2006,congressional
William Ratigan,/candidate/69438/william-ratigan,lost,,2006,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2006,congressional
Vivian Sheffield Beckerle,/candidate/60339/vivian-sheffield-beckerle,lost,Democratic,2006,congressional
"Jo Bonner, Jr.",/candidate/27522/jo-bonner-jr,won,Republican,2006,congressional
Terry Everett,/candidate/26711/terry-everett,won,Republican,2006,congressional
"Charles D James, Sr.",/candidate/27486/charles-d-james-sr,lost,Democratic,2006,congressional
Mark Edwin Layfield,/candidate/60103/mark-edwin-layfield,lost,Independent,2006,congressional
Greg Pierce,/candidate/58682/greg-pierce,lost,Democratic,2006,congressional
Mike Rogers,/candidate/5705/mike-rogers,won,Republican,2006,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,2006,congressional
Barbara Bobo,/candidate/57738/barbara-bobo,lost,Democratic,2006,congressional
Robert Cramer,/candidate/26714/robert-cramer,won,Democratic,2006,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,2006,congressional
Artur Davis,/candidate/27560/artur-davis,won,Democratic,2006,congressional
Marion Berry,/candidate/430/marion-berry,won,Democratic,2006,congressional
Mickey Stumbaugh,/candidate/57912/mickey-stumbaugh,lost,Republican,2006,congressional
Andy Mayberry,/candidate/27770/andy-mayberry,lost,Republican,2006,congressional
Vic Snyder,/candidate/434/vic-snyder,won,Democratic,2006,congressional
Woodrow Anderson,/candidate/57033/woodrow-anderson,lost,Democratic,2006,congressional
John Boozman,/candidate/27958/john-boozman,won,Republican,2006,congressional
Mike Ross,/candidate/24571/mike-ross,won,Democratic,2006,congressional
Joe Ross,/candidate/57037/joe-ross,lost,Republican,2006,congressional
Billie Sue Hoggard,/candidate/27759/billie-sue-hoggard,lost,Republican,2006,congressional
Jon Kyl,/candidate/26721/jon-kyl,won,Republican,2006,congressional
Richard Mack,/candidate/67896/richard-mack,lost,Libertarian,2006,congressional
Jim Pederson,/candidate/68042/jim-pederson,lost,Democratic,2006,congressional
Susan Friedman,/candidate/28150/susan-friedman,lost,Democratic,2006,congressional
Richard Renzi,/candidate/28172/richard-renzi,won,Republican,2006,congressional
David Schlosser,/candidate/65958/david-schlosser,lost,Libertarian,2006,congressional
Ellen Simon,/candidate/67697/ellen-simon,lost,Democratic,2006,congressional
Trent Franks,/candidate/28399/trent-franks,won,Republican,2006,congressional
Powell Gammill,/candidate/28430/powell-gammill,lost,Libertarian,2006,congressional
John Thrasher,/candidate/67902/john-thrasher,lost,Democratic,2006,congressional
Herb Paine,/candidate/67145/herb-paine,lost,Democratic,2006,congressional
John Shadegg,/candidate/22186/john-shadegg,won,Republican,2006,congressional
Mark Yannone,/candidate/22196/mark-yannone,lost,Libertarian,2006,congressional
Ronald Harders,/candidate/69342/ronald-harders,lost,Libertarian,2006,congressional
Don Karg,/candidate/28408/don-karg,lost,Republican,2006,congressional
Ed Pastor,/candidate/26719/ed-pastor,won,Democratic,2006,congressional
"J.D. Hayworth, Jr.",/candidate/22187/jd-hayworth-jr,lost,Republican,2006,congressional
Harry Mitchell,/candidate/16369/harry-mitchell,won,Democratic,2006,congressional
Warren Severin,/candidate/28314/warren-severin,lost,Libertarian,2006,congressional
Jason Blair,/candidate/69343/jason-blair,lost,Libertarian,2006,congressional
Jeff Flake,/candidate/28128/jeff-flake,won,Republican,2006,congressional
Joe Cobb,/candidate/68729/joe-cobb,lost,Libertarian,2006,congressional
Ron Drake,/candidate/67916/ron-drake,lost,Republican,2006,congressional
Raul Grijalva,/candidate/28253/raul-grijalva,won,Democratic,2006,congressional
