name,url,status,party,year,election
Sheila Cherfilus-McCormick,/candidate/182285/sheila-cherfilus-mccormick,won,Democratic,2021,congressional
Shelley Fain,/candidate/198699/shelley-fain,lost,No Party Affiliation,2021,congressional
Jim Flynn,/candidate/198701/jim-flynn,lost,No Party Affiliation,2021,congressional
Jason Mariner,/candidate/198731/jason-mariner,lost,Republican,2021,congressional
Leonard Serratore,/candidate/196285/leonard-serratore,lost,No Party Affiliation,2021,congressional
Mike ter Maat,/candidate/196362/mike-ter-maat,lost,Libertarian,2021,congressional
Chelsea Ardoin,/candidate/195738/chelsea-ardoin,lost,Republican,2021,congressional
Belden Batiste,/candidate/185406/belden-batiste,lost,Independent,2021,congressional
Claston Bernard,/candidate/195739/claston-bernard,lost,Republican,2021,congressional
Troy Carter,/candidate/35462/troy-carter,won,Democratic,2021,congressional
"Gary Chambers, Jr.",/candidate/186905/gary-chambers-jr,lost,Democratic,2021,congressional
Harold John,/candidate/187065/harold-john,lost,Democratic,2021,congressional
J. Christopher Johnson,/candidate/195740/j-christopher-johnson,lost,Democratic,2021,congressional
Brandon Jolicoeur,/candidate/195741/brandon-jolicoeur,lost,No Party Affiliation,2021,congressional
Lloyd Kelly,/candidate/195744/lloyd-kelly,lost,Democratic,2021,congressional
Greg Lirette,/candidate/195743/greg-lirette,lost,Republican,2021,congressional
Mindy McConnell,/candidate/195726/mindy-mcconnell,lost,Libertarian,2021,congressional
Desiree Ontiveros,/candidate/195742/desiree-ontiveros,lost,Democratic,2021,congressional
Karen Peterson,/candidate/35376/karen-peterson,won,Democratic,2021,congressional
Jenette Porter,/candidate/195727/jenette-porter,lost,Democratic,2021,congressional
"Sheldon Vincent, Sr.",/candidate/193807/sheldon-vincent-sr,lost,Republican,2021,congressional
Sandra Christophe,/candidate/193812/sandra-christophe,lost,Democratic,2021,congressional
Chad Conerly,/candidate/195725/chad-conerly,lost,Republican,2021,congressional
Jim Davis,/candidate/195757/jim-davis,lost,Independent,2021,congressional
"Allen Guillory, Sr.",/candidate/165617/allen-guillory-sr,lost,Republican,2021,congressional
Jessica Hollister,/candidate/195746/jessica-hollister,unknown,Democratic,2021,congressional
Robert Kent Lansden,/candidate/35561/robert-kent-lansden,lost,Republican,2021,congressional
Julia Letlow,/candidate/195745/julia-letlow,won,Republican,2021,congressional
Jaycee Magnuson,/candidate/195747/jaycee-magnuson,lost,Republican,2021,congressional
Horace Melton III,/candidate/195723/horace-melton-iii,lost,Republican,2021,congressional
MV Mendoza,/candidate/155410/mv-mendoza,lost,Independent,2021,congressional
Richard Pannell,/candidate/195748/richard-pannell,lost,Republican,2021,congressional
Sancha Smith,/candidate/195724/sancha-smith,lost,Republican,2021,congressional
"Errol Victor, Sr.",/candidate/195749/errol-victor-sr,lost,Republican,2021,congressional
"Aubrey Dunn, Jr.",/candidate/102411/aubrey-dunn-jr,lost,Independent,2021,congressional
Christopher Manning,/candidate/177981/christopher-manning,lost,Libertarian,2021,congressional
Mark Moores,/candidate/139077/mark-moores,lost,Republican,2021,congressional
Laura Olivas,/candidate/200323/laura-olivas,lost,"Independent, Write-In",2021,congressional
Victor Reyes,/candidate/197413/victor-reyes,unknown,Democratic,2021,congressional
Antoinette Sedillo-Lopez,/candidate/177972/antoinette-sedillo-lopez,unknown,Democratic,2021,congressional
Melanie Stansbury,/candidate/180789/melanie-stansbury,won,Democratic,2021,congressional
Shontel Brown,/candidate/161622/shontel-brown,won,Democratic,2021,congressional
LaVerne Gore,/candidate/189078/laverne-gore,lost,Republican,2021,congressional
Mike Carey,/candidate/196349/mike-carey,won,Republican,2021,congressional
Allison Russo,/candidate/179048/allison-russo,lost,Democratic,2021,congressional
Tammy Allison,/candidate/195868/tammy-allison,lost,Democratic,2021,congressional
Michael Ballantine,/candidate/195863/michael-ballantine,lost,Republican,2021,congressional
Lydia Bean,/candidate/188480/lydia-bean,lost,Democratic,2021,congressional
John Castro,/candidate/188361/john-castro,lost,Republican,2021,congressional
Daryl Eddings,/candidate/195864/daryl-eddings,lost,Democratic,2021,congressional
Mike Egan,/candidate/195865/mike-egan,lost,Republican,2021,congressional
Jake Ellzey,/candidate/147592/jake-ellzey,won,Republican,2021,congressional
Jenny Garcia Sharon,/candidate/188364/jenny-garcia-sharon,lost,Republican,2021,congressional
Phil Gray,/candidate/175488/phil-gray,lost,Libertarian,2021,congressional
Brian Harrison,/candidate/195866/brian-harrison,lost,Republican,2021,congressional
Matt Hinterlong,/candidate/195867/matt-hinterlong,lost,Democratic,2021,congressional
Sery Kim,/candidate/195869/sery-kim,lost,Republican,2021,congressional
Shawn Lassiter,/candidate/195870/shawn-lassiter,lost,Democratic,2021,congressional
Adrian Mizher,/candidate/195871/adrian-mizher,lost,Independent,2021,congressional
Patrick Moses,/candidate/195872/patrick-moses,lost,Democratic,2021,congressional
Travis Rodermund,/candidate/195873/travis-rodermund,lost,Republican,2021,congressional
Dan Rodimer,/candidate/180934/dan-rodimer,lost,Republican,2021,congressional
Manuel Salazar III,/candidate/195874/manuel-salazar-iii,lost,Democratic,2021,congressional
Jana Sanchez,/candidate/177024/jana-sanchez,lost,Democratic,2021,congressional
Brian Stephenson,/candidate/195875/brian-stephenson,lost,Democratic,2021,congressional
Christopher Suprun,/candidate/180224/christopher-suprun,lost,Democratic,2021,congressional
Michael Wood,/candidate/195876/michael-wood,lost,Republican,2021,congressional
Susan Wright,/candidate/195877/susan-wright,won,Republican,2021,congressional
