name,url,status,party,year,election
"Joe Baca, Sr.",/candidate/8039/joe-baca-sr,won,Democratic,1999,congressional
John Scott Ballard,/candidate/16613/john-scott-ballard,lost,Libertarian,1999,congressional
Elia Pirozzi,/candidate/16727/elia-pirozzi,lost,Republican,1999,congressional
Rick Simon,/candidate/16610/rick-simon,lost,Reform,1999,congressional
Johnny Isakson,/candidate/1721/johnny-isakson,won,Republican,1999,congressional
"Clennon King, Jr.",/candidate/1741/clennon-king-jr,unknown,,1999,congressional
David Conner Treen,/candidate/18866/david-conner-treen,lost,Republican,1999,congressional
David Vitter,/candidate/4615/david-vitter,won,Republican,1999,congressional
