name,url,status,party,year,election
Sharon Cissna,/candidate/15863/sharon-cissna,lost,Democratic,2012,congressional
Jim McDermott,/candidate/140387/jim-mcdermott,lost,Libertarian,2012,congressional
Donald Young,/candidate/26717/donald-young,won,Republican,2012,congressional
"Jo Bonner, Jr.",/candidate/27522/jo-bonner-jr,won,Republican,2012,congressional
Therese Ford,/candidate/135114/therese-ford,lost,Democratic,2012,congressional
Martha Roby,/candidate/71604/martha-roby,won,Republican,2012,congressional
John Harris,/candidate/80329/john-harris,lost,Democratic,2012,congressional
Mike Rogers,/candidate/5705/mike-rogers,won,Republican,2012,congressional
Robert Aderholt,/candidate/441/robert-aderholt,won,Republican,2012,congressional
Daniel Boman,/candidate/121513/daniel-boman,lost,Democratic,2012,congressional
Mo Brooks,/candidate/121610/mo-brooks,won,Republican,2012,congressional
Charlie Holley,/candidate/135111/charlie-holley,lost,Democratic,2012,congressional
Spencer Bachus,/candidate/26715/spencer-bachus,won,Republican,2012,congressional
Penny Bailey,/candidate/135113/penny-bailey,lost,Democratic,2012,congressional
Don Chamberlain,/candidate/27598/don-chamberlain,lost,Republican,2012,congressional
Terri Sewell,/candidate/121621/terri-sewell,won,Democratic,2012,congressional
Rick Crawford,/candidate/119208/rick-crawford,won,Republican,2012,congressional
Scott Ellington,/candidate/137180/scott-ellington,lost,Democratic,2012,congressional
Jacob Holloway,/candidate/141074/jacob-holloway,lost,Green Party,2012,congressional
Jessica Paxton,/candidate/141063/jessica-paxton,lost,Libertarian,2012,congressional
Tim Griffin,/candidate/119213/tim-griffin,won,Republican,2012,congressional
Chris Hayes,/candidate/141078/chris-hayes,lost,Libertarian,2012,congressional
Herb Rule,/candidate/137181/herb-rule,lost,Democratic,2012,congressional
Barbara Ward,/candidate/141082/barbara-ward,lost,Green Party,2012,congressional
Kenneth Aden,/candidate/135638/kenneth-aden,unknown,Democratic,2012,congressional
Rebekah Kennedy,/candidate/104896/rebekah-kennedy,lost,Green Party,2012,congressional
David Pangrac,/candidate/141086/david-pangrac,lost,Libertarian,2012,congressional
Steve Womack,/candidate/71815/steve-womack,won,Republican,2012,congressional
Tom Cotton,/candidate/135651/tom-cotton,won,Republican,2012,congressional
Josh Drake,/candidate/105120/josh-drake,lost,Green Party,2012,congressional
Gene Jeffress,/candidate/16220/gene-jeffress,lost,Democratic,2012,congressional
Bobby Tullis,/candidate/128301/bobby-tullis,lost,Libertarian,2012,congressional
Fatumalala Al-Sheri,/candidate/143511/fatumalala-al-sheri,lost,Independent,2012,congressional
Eni Faleomavaega,/candidate/774/eni-faleomavaega,won,Democratic,2012,congressional
Rosie Lancaster,/candidate/143512/rosie-lancaster,lost,Independent,2012,congressional
"Kereti Mata'utia, Jr.",/candidate/143513/kereti-matautia-jr,lost,Independent,2012,congressional
Aumua Amata Radewagen,/candidate/128380/aumua-amata-radewagen,lost,Republican,2012,congressional
Richard Carmona,/candidate/141193/richard-carmona,lost,Democratic,2012,congressional
Jeff Flake,/candidate/28128/jeff-flake,won,Republican,2012,congressional
Marc Victor,/candidate/143431/marc-victor,lost,Libertarian,2012,congressional
Kim Allen,/candidate/141278/kim-allen,lost,Libertarian,2012,congressional
Ann Kirkpatrick,/candidate/28425/ann-kirkpatrick,won,Democratic,2012,congressional
Jonathan Paton,/candidate/28500/jonathan-paton,lost,Republican,2012,congressional
Ron Barber,/candidate/137292/ron-barber,won,Democratic,2012,congressional
Martha McSally,/candidate/137299/martha-mcsally,lost,Republican,2012,congressional
Raul Grijalva,/candidate/28253/raul-grijalva,won,Democratic,2012,congressional
